ticker,trade_date,trade_time,open_price,high_price,low_price,close_price,volume,turnover,bid_size_total,ask_size_total
058470,2023-01-02,10:15:00,31276,31617,31236,31256,10763,337766000,683,1472
058470,2023-01-02,10:30:00,31256,31316,31036,31076,4720,147065000,427,518
058470,2023-01-02,10:45:00,31116,31296,31096,31156,2083,64875000,277,140
058470,2023-01-02,11:00:00,31116,31156,30856,30996,11207,347475000,878,1366
058470,2023-01-02,11:15:00,30936,31016,30856,30876,2772,85681000,211,344
058470,2023-01-02,11:30:00,30856,30876,30696,30836,6433,198290000,593,695
058470,2023-01-02,11:45:00,30816,30816,30696,30736,5574,171201000,405,711
058470,2023-01-02,12:00:00,30716,30776,30696,30756,909,27947000,92,90
058470,2023-01-02,12:15:00,30756,30756,30455,30515,7646,233881000,445,1086
058470,2023-01-02,12:30:00,30515,30555,30415,30415,5584,170140000,512,606
058470,2023-01-02,12:45:00,30415,30515,30335,30455,8285,251911000,1150,509
058470,2023-01-02,13:00:00,30455,30495,30375,30435,2432,74043000,141,346
058470,2023-01-02,13:15:00,30415,30636,30415,30555,2912,88844000,451,132
058470,2023-01-02,13:30:00,30555,30575,30395,30435,3341,101757000,241,428
058470,2023-01-02,13:45:00,30495,30495,30375,30395,3631,110443000,395,332
058470,2023-01-02,14:00:00,30395,30395,30235,30275,8290,251512000,370,1290
058470,2023-01-02,14:15:00,30275,30295,30235,30295,4190,126778000,498,341
058470,2023-01-02,14:30:00,30275,30315,30095,30095,4135,124995000,110,718
058470,2023-01-02,14:45:00,30115,30175,30035,30135,8515,256173000,685,1020
058470,2023-01-02,15:00:00,30155,30335,30075,30335,5454,164712000,856,236
058470,2023-01-02,15:15:00,30335,30355,30135,30215,7067,213791000,466,949
058470,2023-01-02,15:30:00,30215,30235,30055,30235,8480,256047000,901,696
058470,2023-01-03,09:15:00,30235,30636,30115,30215,6977,211469000,674,723
058470,2023-01-03,09:30:00,30215,30355,30055,30235,4735,142995000,575,373
058470,2023-01-03,09:45:00,30235,30295,30175,30215,7152,216116000,431,1001
058470,2023-01-03,10:00:00,30215,30235,30155,30215,3331,100591000,170,497
058470,2023-01-03,10:15:00,30195,30215,30155,30195,1933,58335000,204,183
058470,2023-01-03,10:30:00,30195,30215,30055,30095,4814,145150000,151,813
058470,2023-01-03,10:45:00,30095,30195,30055,30135,4050,122001000,292,519
058470,2023-01-03,11:00:00,30135,30155,30075,30095,2237,67352000,229,219
058470,2023-01-03,11:15:00,30095,30135,30075,30095,1558,46903000,171,141
058470,2023-01-03,11:30:00,30095,30155,30055,30155,1578,47503000,237,79
058470,2023-01-03,11:45:00,30135,30235,30075,30215,2772,83556000,259,296
058470,2023-01-03,12:00:00,30195,30455,30195,30375,3741,113416000,467,282
058470,2023-01-03,12:15:00,30375,30535,30295,30395,5743,174806000,419,731
058470,2023-01-03,12:30:00,30375,30515,30275,30275,3821,116013000,357,408
058470,2023-01-03,12:45:00,30355,30495,30315,30435,3121,94871000,322,303
058470,2023-01-03,13:00:00,30435,30515,30255,30255,6403,194562000,520,762
058470,2023-01-03,13:15:00,30315,30435,30295,30415,4070,123555000,533,282
058470,2023-01-03,13:30:00,30415,30435,30315,30375,6502,197472000,506,796
058470,2023-01-03,13:45:00,30375,30455,30315,30395,4804,145938000,555,407
058470,2023-01-03,14:00:00,30355,30395,30295,30395,5613,170270000,487,637
058470,2023-01-03,14:15:00,30395,30515,30395,30515,4505,137188000,476,426
058470,2023-01-03,14:30:00,30515,30535,30375,30415,6722,204712000,788,558
058470,2023-01-03,14:45:00,30455,30495,30395,30475,5109,155518000,538,485
058470,2023-01-03,15:00:00,30475,30575,30455,30475,6453,196829000,674,618
058470,2023-01-03,15:15:00,30475,30575,30355,30475,10323,314635000,898,1169
058470,2023-01-03,15:30:00,30495,30555,30355,30535,13404,408805000,2052,585
058470,2023-01-04,09:15:00,30055,30535,30035,30355,7257,218881000,787,666
058470,2023-01-04,09:30:00,30295,31116,30295,31076,21185,651416000,2651,1591
058470,2023-01-04,09:45:00,31076,31136,30595,30756,19707,610378000,1328,2618
058470,2023-01-04,10:00:00,30756,30916,30575,30656,3091,95139000,302,317
058470,2023-01-04,10:15:00,30696,30796,30595,30595,2257,69309000,155,297
058470,2023-01-04,10:30:00,30595,30836,30555,30816,5139,157585000,326,703
058470,2023-01-04,10:45:00,30816,30956,30796,30836,2267,69990000,140,314
058470,2023-01-04,11:00:00,30836,30976,30756,30976,2457,75845000,283,209
058470,2023-01-04,11:15:00,30896,30936,30796,30816,3716,114554000,173,571
058470,2023-01-04,11:30:00,30816,31096,30796,31056,8250,255319000,1045,607
058470,2023-01-04,11:45:00,31076,31216,31036,31156,12461,388064000,1505,990
058470,2023-01-04,12:00:00,31156,31156,30976,31056,12376,384457000,545,1933
058470,2023-01-04,12:15:00,31056,31136,31036,31096,3826,118975000,287,479
058470,2023-01-04,12:30:00,31096,31116,30976,30996,3671,114034000,167,568
058470,2023-01-04,12:45:00,30996,31036,30876,31016,1059,32803000,133,79
058470,2023-01-04,13:00:00,30896,31016,30896,31016,1079,33414000,56,160
058470,2023-01-04,13:15:00,30976,31256,30916,31236,8515,265322000,1305,400
058470,2023-01-04,13:30:00,31236,31717,31216,31416,28652,900028000,3927,1810
058470,2023-01-04,13:45:00,31416,31557,31136,31256,14693,461413000,1738,1204
058470,2023-01-04,14:00:00,31256,31276,31056,31256,6837,213257000,272,1097
058470,2023-01-04,14:15:00,31256,31256,31056,31116,3366,104813000,206,468
058470,2023-01-04,14:30:00,31216,31296,31076,31296,2827,88078000,164,402
058470,2023-01-04,14:45:00,31296,31296,31056,31176,5329,165998000,547,520
058470,2023-01-04,15:00:00,31176,31196,31056,31076,3661,113987000,224,509
058470,2023-01-04,15:15:00,31096,31196,31056,31156,9369,291579000,847,1029
058470,2023-01-04,15:30:00,31156,31236,31056,31236,10837,338246000,1980,177
058470,2023-01-05,09:15:00,31416,31416,30876,31316,19143,596759000,1630,2203
058470,2023-01-05,09:30:00,31356,31597,31136,31256,16341,512899000,1254,2018
058470,2023-01-05,09:45:00,31256,31296,31096,31296,9094,283791000,838,983
058470,2023-01-05,10:00:00,31316,31356,31236,31356,6058,189513000,763,450
058470,2023-01-05,10:15:00,31316,31356,31116,31196,5783,180582000,542,616
058470,2023-01-05,10:30:00,31336,31336,31156,31316,3596,112361000,312,408
058470,2023-01-05,10:45:00,31316,31316,31176,31236,3166,98850000,363,271
058470,2023-01-05,11:00:00,31256,31336,31196,31196,2302,71974000,89,372
058470,2023-01-05,11:15:00,31216,31236,31076,31076,6987,217480000,591,808
058470,2023-01-05,11:30:00,31076,31076,30936,30956,4814,149395000,241,723
058470,2023-01-05,11:45:00,30956,31036,30936,30956,2697,83506000,167,373
058470,2023-01-05,12:00:00,30956,30956,30876,30876,3221,99610000,22,623
058470,2023-01-05,12:15:00,30876,30876,30736,30736,5314,163788000,46,1018
058470,2023-01-05,12:30:00,30736,30916,30656,30856,6128,188597000,519,708
058470,2023-01-05,12:45:00,30836,30856,30796,30796,2977,91777000,124,472
058470,2023-01-05,13:00:00,30796,30796,30676,30696,1938,59481000,144,244
058470,2023-01-05,13:15:00,30776,30856,30736,30756,4070,125247000,377,438
058470,2023-01-05,13:30:00,30756,31096,30756,30956,8480,262230000,648,1050
058470,2023-01-05,13:45:00,30956,31036,30856,31036,8955,276880000,999,794
058470,2023-01-05,14:00:00,31036,31296,30936,31156,13025,406066000,1057,1551
058470,2023-01-05,14:15:00,31136,31296,31016,31296,8006,249546000,413,1190
058470,2023-01-05,14:30:00,31276,31276,31056,31136,7651,238530000,459,1073
058470,2023-01-05,14:45:00,31116,31176,30996,31056,12206,379595000,992,1452
058470,2023-01-05,15:00:00,31056,31116,31036,31076,7242,224928000,495,955
058470,2023-01-05,15:15:00,31116,31176,31076,31116,9079,282680000,539,1279
058470,2023-01-05,15:30:00,31116,31296,31116,31156,8930,278354000,1220,563
058470,2023-01-06,09:15:00,30856,31737,30736,31697,8540,268697000,1342,368
058470,2023-01-06,09:30:00,31697,31697,31376,31637,11197,353465000,1565,677
058470,2023-01-06,09:45:00,31637,31677,31456,31537,3975,125545000,424,372
058470,2023-01-06,10:00:00,31497,31637,31396,31537,5603,176556000,551,571
058470,2023-01-06,10:15:00,31557,31617,31416,31537,4070,128356000,576,239
058470,2023-01-06,10:30:00,31517,31517,31296,31396,5209,163435000,654,389
058470,2023-01-06,10:45:00,31416,31957,31356,31937,18553,589067000,2941,774
058470,2023-01-06,11:00:00,31797,31917,31677,31717,3156,100349000,186,446
058470,2023-01-06,11:15:00,31717,31817,31597,31797,5878,186574000,437,740
058470,2023-01-06,11:30:00,31797,31897,31597,31837,7411,235867000,690,794
058470,2023-01-06,11:45:00,31837,31877,31837,31877,3271,104198000,289,366
058470,2023-01-06,12:00:00,31857,31977,31857,31937,7701,245954000,875,667
058470,2023-01-06,12:15:00,31937,32037,31937,32017,8016,256379000,1062,543
058470,2023-01-06,12:30:00,32017,32037,31937,31957,5603,179301000,243,879
058470,2023-01-06,12:45:00,31957,32037,31957,32037,2582,82597000,407,110
058470,2023-01-06,13:00:00,32017,32177,32017,32137,8910,285762000,1068,716
058470,2023-01-06,13:15:00,32037,32137,32017,32077,6752,216627000,558,794
058470,2023-01-06,13:30:00,32077,32117,32017,32017,8715,279535000,569,1176
058470,2023-01-06,13:45:00,32017,32097,31977,32017,4290,137513000,410,449
058470,2023-01-06,14:00:00,32037,32137,31957,32097,7102,227833000,805,617
058470,2023-01-06,14:15:00,32117,32137,32017,32097,7936,254839000,913,676
058470,2023-01-06,14:30:00,32117,32157,32037,32117,11237,360999000,1557,693
058470,2023-01-06,14:45:00,32097,32177,32037,32117,12670,407178000,1394,1143
058470,2023-01-06,15:00:00,32037,32137,31977,31977,11562,370557000,906,1409
058470,2023-01-06,15:15:00,31997,32157,31977,32117,12995,416852000,1772,830
058470,2023-01-06,15:30:00,32097,32157,31997,32137,9948,319523000,1591,368
058470,2023-01-09,09:15:00,32538,32918,32518,32918,12600,412519000,1741,782
058470,2023-01-09,09:30:00,32918,32918,32498,32638,10338,337740000,601,1469
058470,2023-01-09,09:45:00,32658,32758,32398,32538,11232,366462000,850,1399
058470,2023-01-09,10:00:00,32478,32618,32297,32538,7501,243554000,539,963
058470,2023-01-09,10:15:00,32518,32738,32518,32678,8420,274830000,587,1099
058470,2023-01-09,10:30:00,32658,32658,32478,32498,3691,120205000,137,602
058470,2023-01-09,10:45:00,32498,32538,32438,32498,3576,116197000,205,511
058470,2023-01-09,11:00:00,32478,32618,32478,32598,3371,109719000,449,226
058470,2023-01-09,11:15:00,32598,32618,32578,32598,2053,66912000,157,254
058470,2023-01-09,11:30:00,32598,32618,32458,32478,4600,149796000,209,712
058470,2023-01-09,11:45:00,32458,32458,32237,32337,5154,166856000,308,724
058470,2023-01-09,12:00:00,32358,32378,32237,32257,1443,46611000,100,189
058470,2023-01-09,12:15:00,32257,32317,32177,32237,2587,83378000,181,337
058470,2023-01-09,12:30:00,32237,32257,32177,32217,1928,62093000,250,136
058470,2023-01-09,12:45:00,32217,32237,32157,32237,2048,65962000,156,254
058470,2023-01-09,13:00:00,32217,32297,32137,32157,4390,141491000,231,648
058470,2023-01-09,13:15:00,32137,32217,32137,32137,3066,98636000,289,325
058470,2023-01-09,13:30:00,32157,32177,32077,32097,2952,94843000,233,358
058470,2023-01-09,13:45:00,32117,32137,32077,32117,2392,76803000,273,206
058470,2023-01-09,14:00:00,32137,32237,32117,32177,6912,222568000,769,615
058470,2023-01-09,14:15:00,32177,32277,32157,32217,3965,127704000,454,340
058470,2023-01-09,14:30:00,32237,32237,32157,32177,3056,98389000,261,351
