ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
328130,2022-07-21,14870,19312,14339,19312,14285076,253388000000,21789276
328130,2022-07-22,18998,23633,18564,19505,15726941,331410000000,21789276
328130,2022-07-25,19167,20519,17695,18057,3135732,58852000000,21789276
328130,2022-07-26,18008,19433,17284,17743,3564198,65330000000,21789276
328130,2022-07-27,18419,20857,18129,18877,8482824,165041000000,21789276
328130,2022-07-28,18684,19457,17815,19288,2159113,40233000000,21789276
328130,2022-07-29,19095,21002,18395,18395,4226893,83280000000,21789276
328130,2022-08-01,19264,20398,18684,18805,3330247,64821000000,21789276
328130,2022-08-02,19747,23464,19312,21895,15688905,342856000000,21789276
328130,2022-08-03,21895,22209,20640,21002,2205217,46996000000,21789276
328130,2022-08-04,21050,21074,19964,20205,1453173,29568000000,21789276
328130,2022-08-05,19891,20422,19553,20085,1046289,20967000000,21789276
328130,2022-08-08,20036,20760,19891,20326,1093497,22366000000,21789276
328130,2022-08-09,20857,21581,19988,20205,1970934,40871000000,21789276
328130,2022-08-10,20447,20760,19336,20133,2252769,45658000000,21789276
328130,2022-08-11,20398,20422,19698,19747,724176,14509000000,21789276
328130,2022-08-12,19433,20085,19143,19191,570697,11089000000,21789276
328130,2022-08-16,19143,19312,18467,18829,513988,9671000000,21789276
328130,2022-08-17,18757,19988,18564,19191,915075,17772000000,21789276
328130,2022-08-18,18853,19022,18564,18974,289606,5437000000,21789276
328130,2022-08-19,18902,20181,18636,19698,1288784,25304000000,21789276
328130,2022-08-22,19360,19505,18057,18057,946192,17639000000,21789276
328130,2022-08-23,17695,18395,17188,18081,432215,7726000000,21789276
328130,2022-08-24,18081,19264,18057,18853,624674,11775000000,21789276
328130,2022-08-25,18974,20060,18805,19312,834323,16151000000,21789276
328130,2022-08-26,19457,19505,18588,18829,276809,5257000000,21789276
328130,2022-08-29,17984,18395,16898,17188,410115,7228000000,21789276
328130,2022-08-30,17502,17984,17067,17743,262624,4622000000,21789276
328130,2022-08-31,17767,18612,17381,18250,312775,5633000000,21789276
328130,2022-09-01,18008,18902,17984,18105,259459,4789000000,21789276
328130,2022-09-02,18395,18588,17429,17502,196391,3516000000,21789276
328130,2022-09-05,17502,17743,15812,16077,507072,8300000000,21925727
328130,2022-09-06,16367,16463,15932,16150,120256,1952000000,21925727
328130,2022-09-07,16174,16295,14846,14967,294299,4512000000,21925727
328130,2022-09-08,15088,15884,15088,15860,221505,3462000000,21925727
328130,2022-09-13,16270,16705,15691,15715,254533,4079000000,21925727
328130,2022-09-14,15136,15498,14846,15088,226654,3419000000,21925727
328130,2022-09-15,15739,16270,14991,15305,353257,5535000000,21925727
328130,2022-09-16,15160,15160,14218,14508,399577,5809000000,21925727
328130,2022-09-19,14508,14629,13905,14146,142963,2038000000,21925727
328130,2022-09-20,14170,14605,14074,14074,130919,1863000000,25317866
328130,2022-09-21,13977,14170,13543,13784,117359,1621000000,25317866
328130,2022-09-22,13567,13856,13180,13736,159811,2158000000,25317866
328130,2022-09-23,13591,13856,12987,13084,124469,1658000000,25317866
328130,2022-09-26,12867,12891,11901,12191,254827,3128000000,25317866
328130,2022-09-27,12191,12311,11829,12215,129324,1564000000,25317866
328130,2022-09-28,12239,12432,11249,11491,165010,1926000000,25317866
328130,2022-09-29,11635,12215,11635,11804,196296,2334000000,25317866
328130,2022-09-30,11660,12070,11177,11539,173114,2019000000,25317866
328130,2022-10-04,11732,12167,11563,11973,136435,1621000000,25317866
328130,2022-10-05,12070,12167,10791,10960,339090,3825000000,25317866
328130,2022-10-06,11273,11925,11080,11563,250264,2888000000,25317866
328130,2022-10-07,11370,11539,10742,10815,190958,2094000000,25317866
328130,2022-10-11,10428,10428,9390,9584,312398,3050000000,25317866
328130,2022-10-12,9656,10404,9221,10018,607843,6026000000,25317866
328130,2022-10-13,9897,9922,9125,9390,254680,2385000000,25317866
328130,2022-10-14,9849,10091,9535,9753,291789,2863000000,25317866
328130,2022-10-17,9463,10066,9463,9897,196681,1919000000,25317866
328130,2022-10-18,10091,10211,9873,10066,147787,1479000000,25317866
328130,2022-10-19,10066,10549,9777,9994,205478,2083000000,25317866
328130,2022-10-20,10091,10091,9608,9801,121143,1180000000,25317866
328130,2022-10-21,9680,9922,9559,9656,89616,870000000,25317866
328130,2022-10-24,10042,10766,9825,10525,469862,4872000000,25317866
328130,2022-10-25,10525,10839,10356,10622,283516,3011000000,25317866
328130,2022-10-26,10670,11708,9849,10115,855980,9069000000,25317866
328130,2022-10-27,10042,10332,9946,10284,123218,1252000000,25317866
328130,2022-10-28,10525,12987,10477,11587,2968155,35610000000,25317866
328130,2022-10-31,11611,11949,11467,11732,461401,5424000000,25317866
328130,2022-11-01,11684,12046,11298,11925,406298,4759000000,25317866
328130,2022-11-02,11829,12287,11660,12263,372066,4443000000,25317866
328130,2022-11-03,11804,12046,11008,11322,340900,3947000000,25317866
328130,2022-11-04,11322,11394,10911,11394,166901,1859000000,25317866
328130,2022-11-07,11322,11780,11225,11418,154649,1775000000,25326461
328130,2022-11-08,11394,11973,11273,11732,210521,2467000000,25326461
328130,2022-11-09,11925,11949,11539,11563,131950,1539000000,25326461
328130,2022-11-10,11563,11563,11201,11249,72615,820000000,25326461
328130,2022-11-11,11587,11949,11418,11877,181795,2116000000,25326461
328130,2022-11-14,12094,13156,11756,12794,787720,10054000000,25326461
328130,2022-11-15,12818,13084,12505,12794,279496,3574000000,25326461
328130,2022-11-16,12842,13060,12287,12867,258800,3288000000,25326461
328130,2022-11-17,12867,14725,12625,13084,1086962,15133000000,25326461
328130,2022-11-18,13156,13374,12722,12867,190436,2476000000,25326461
328130,2022-11-21,12746,13229,12505,12698,128842,1651000000,25326461
328130,2022-11-22,12553,13108,12456,12674,94972,1208000000,25326461
328130,2022-11-23,12867,13398,12698,13374,213860,2812000000,25326461
328130,2022-11-24,13374,14822,13374,14243,688485,9814000000,25326461
328130,2022-11-25,14243,14701,14098,14218,218527,3137000000,25326461
328130,2022-11-28,14291,14774,14025,14025,142456,2033000000,25326461
328130,2022-11-29,13905,13929,13470,13808,107501,1470000000,25326461
328130,2022-11-30,13808,14122,13615,14025,75718,1055000000,25326461
328130,2022-12-01,14098,14387,13929,13929,81687,1152000000,25326461
328130,2022-12-02,13929,14387,13760,14146,115271,1635000000,25326461
328130,2022-12-05,14146,14291,13567,13567,84904,1171000000,25326461
328130,2022-12-06,13398,13784,13229,13567,52029,704000000,25326461
328130,2022-12-07,13301,13518,12842,13132,93083,1219000000,25326461
328130,2022-12-08,12987,13156,12384,12625,127257,1606000000,25326461
328130,2022-12-09,12625,12698,12384,12649,64587,813000000,25326461
328130,2022-12-12,12842,12842,12505,12674,34803,439000000,25326461
328130,2022-12-13,12794,12818,11998,12070,177659,2161000000,25326461
328130,2022-12-14,12070,13736,12070,13470,591364,7897000000,25326461
328130,2022-12-15,14001,15136,13687,13856,1051997,15086000000,25326461
328130,2022-12-16,13567,13856,13325,13349,165994,2242000000,25326461
328130,2022-12-19,13349,14291,13349,14049,375038,5241000000,25326461
328130,2022-12-20,14122,14243,13374,13422,268371,3665000000,25326461
328130,2022-12-21,13518,13881,13325,13591,151805,2061000000,25326461
328130,2022-12-22,13663,14387,13567,13615,414879,5786000000,25326461
328130,2022-12-23,13349,13446,12625,13011,266868,3446000000,25326461
328130,2022-12-26,12891,13229,12746,13011,101990,1331000000,25326461
328130,2022-12-27,13011,13760,13011,13518,144113,1936000000,25326461
328130,2022-12-28,13760,14436,13518,14170,291857,4093000000,25326461
328130,2022-12-29,14049,14943,14001,14387,280051,4054000000,25326461
328130,2023-01-02,14387,14798,13712,13929,150998,2139000000,25326461
328130,2023-01-03,14315,15739,14267,15739,1175421,17764000000,25326461
328130,2023-01-04,15450,16512,15450,15763,576969,9196000000,25326461
328130,2023-01-05,15763,16029,15015,15184,270248,4171000000,25326461
328130,2023-01-06,15160,16270,14701,15739,447290,6991000000,25326461
328130,2023-01-09,15860,16270,14919,15136,426662,6610000000,25326461
328130,2023-01-10,15136,15474,14750,15039,263116,3947000000,25326461
328130,2023-01-11,15039,15884,15039,15691,224407,3470000000,25326461
328130,2023-01-12,15739,16319,15546,15643,307391,4912000000,25326461
328130,2023-01-13,15836,15860,15305,15594,119262,1845000000,25326461
328130,2023-01-16,15739,17767,15739,16729,1203006,20438000000,25326461
328130,2023-01-17,16729,17019,16488,16512,310165,5198000000,25326461
328130,2023-01-18,16632,19167,16101,17550,2139732,38453000000,25326461
328130,2023-01-19,17646,18129,16995,17622,708696,12491000000,25326461
328130,2023-01-20,17502,18733,17284,17864,969112,17466000000,25326461
328130,2023-01-25,18371,19626,18033,19143,1086361,20743000000,25326461
328130,2023-01-26,19240,20978,18129,18902,1711750,33400000000,25326461
328130,2023-01-27,18733,19505,18419,19360,503628,9545000000,25326461
328130,2023-01-30,19457,19867,18998,19360,597323,11618000000,25326461
328130,2023-01-31,19119,20278,19046,19143,920494,17680000000,25326461
328130,2023-02-01,19891,21967,19143,19698,2717491,55615000000,25326461
328130,2023-02-02,19722,20109,19046,19215,791973,15343000000,25326461
328130,2023-02-03,19143,19191,18177,18346,566989,10534000000,25326461
328130,2023-02-06,18395,19529,18129,18660,617861,11647000000,25326461
328130,2023-02-07,18781,19771,18515,19119,668352,12908000000,25326461
328130,2023-02-08,19119,20012,19119,19578,776946,15245000000,25326461
328130,2023-02-09,19867,21098,19143,20688,1326508,26433000000,25326461
328130,2023-02-10,20543,20591,18950,19553,862880,16838000000,25383539
328130,2023-02-13,19553,20278,19360,19747,666374,13173000000,25383539
328130,2023-02-14,20060,20543,19771,19940,873321,17628000000,25383539
328130,2023-02-15,20229,20422,19240,19360,625836,12385000000,25383539
328130,2023-02-16,19529,19722,19143,19505,334933,6494000000,25383539
328130,2023-02-17,19119,19167,18540,18612,479618,9042000000,25383539
328130,2023-02-20,18588,18926,17622,18709,421685,7717000000,25383539
328130,2023-02-21,18781,18950,18371,18443,258218,4797000000,25383539
328130,2023-02-22,18274,18274,17598,17888,375376,6705000000,25383539
328130,2023-02-23,18298,20616,18298,20302,2894222,57318000000,25383539
328130,2023-02-24,20253,23416,19940,21702,8008463,177622000000,25383539
328130,2023-02-27,21823,22426,20905,22233,1884902,41349000000,25383539
328130,2023-02-28,22450,24285,21485,22692,3002014,68703000000,25383539
328130,2023-03-02,22740,23416,21050,21074,1350110,29584000000,25383539
328130,2023-03-03,21364,22450,21195,21267,889292,19340000000,25383539
328130,2023-03-06,21702,21774,20954,21774,490175,10528000000,25383539
328130,2023-03-07,22209,23730,21002,22885,2242338,50785000000,25383539
328130,2023-03-08,22523,22523,21267,21485,973932,21165000000,25383539
328130,2023-03-09,21726,21943,20640,21147,559566,11847000000,25383539
328130,2023-03-10,20519,20857,19264,20181,823362,16397000000,25383539
328130,2023-03-13,19650,20012,19264,19771,515268,10132000000,25383539
328130,2023-03-14,19819,19819,18443,18612,825881,15581000000,25383539
328130,2023-03-15,19288,20012,18974,19384,521343,10178000000,25383539
328130,2023-03-16,19046,20640,18877,19891,641840,12811000000,25383539
328130,2023-03-17,20157,20616,19819,20326,552977,11181000000,25383539
328130,2023-03-20,20205,21774,19626,21388,939773,19744000000,25383539
328130,2023-03-21,21509,21533,20543,20640,515482,10793000000,25383539
328130,2023-03-22,20640,21074,20085,20302,385434,7896000000,25383539
328130,2023-03-23,20036,20398,19288,19916,467768,9294000000,25383539
328130,2023-03-24,20205,20736,19747,20278,328232,6631000000,25383539
328130,2023-03-27,20350,20374,19505,19505,286925,5645000000,25383539
328130,2023-03-28,19650,19843,19215,19264,306304,5955000000,25383539
328130,2023-03-29,19360,19795,18877,19481,365587,7053000000,25383539
328130,2023-03-30,19698,19722,19167,19264,176093,3400000000,25383539
328130,2023-03-31,19264,19360,17864,18057,591186,10842000000,25383539
328130,2023-04-03,18250,18250,17670,17936,285693,5117000000,25383539
328130,2023-04-04,18153,20857,18153,20857,1529443,30711000000,25383539
328130,2023-04-05,21919,24719,21147,23874,7155019,165980000000,25383539
328130,2023-04-06,25250,26795,24381,25444,3829594,97939000000,25383539
328130,2023-04-07,25057,26409,24188,25395,2140492,54364000000,25383539
328130,2023-04-10,25106,27568,24478,26361,2761355,72326000000,25383539
