ticker,trade_date,trade_time,open_price,high_price,low_price,close_price,volume,turnover,bid_size_total,ask_size_total
141080,2026-01-02,10:05:00,172600,174400,172500,173900,8231,1428070000,5527,2662
141080,2026-01-02,10:10:00,173900,174200,171800,172400,12626,2180830000,4796,7830
141080,2026-01-02,10:15:00,172400,173600,171400,173500,6606,1141260000,2989,3617
141080,2026-01-02,10:20:00,173500,173900,171700,173100,13813,2387870000,3712,10101
141080,2026-01-02,10:25:00,173200,173500,170700,171500,7226,1242480000,2202,5024
141080,2026-01-02,10:30:00,171500,172300,170700,171700,11267,1929580000,3919,7348
141080,2026-01-02,10:35:00,171700,171800,171300,171700,5163,885180000,2051,3112
141080,2026-01-02,10:40:00,171800,173200,171700,172600,4115,709530000,2318,1797
141080,2026-01-02,10:45:00,172600,172700,171600,172000,3877,667050000,875,3002
141080,2026-01-02,10:50:00,172000,172000,171300,172000,4148,711630000,1713,2435
141080,2026-01-02,10:55:00,171900,171900,171400,171600,4514,774530000,710,3804
141080,2026-01-02,11:00:00,171600,171600,170900,170900,7530,1289490000,1626,5904
141080,2026-01-02,11:05:00,170900,172400,170900,172400,4739,813150000,2829,1910
141080,2026-01-02,11:10:00,172400,172900,171000,172000,6204,1068750000,2831,3373
141080,2026-01-02,11:15:00,171900,172700,171700,172500,3735,642880000,2527,1208
141080,2026-01-02,11:20:00,172600,173100,172300,173000,3615,624210000,2182,1433
141080,2026-01-02,11:25:00,173000,173500,172800,173300,2238,387550000,1188,1050
141080,2026-01-02,11:30:00,173200,173500,173100,173400,3719,644640000,2154,1565
141080,2026-01-02,11:35:00,173500,173700,173300,173500,3711,643640000,1912,1799
141080,2026-01-02,11:40:00,173400,173600,172700,173300,3451,597600000,1194,2257
141080,2026-01-02,11:45:00,173200,174200,173200,173700,5913,1027620000,4182,1731
141080,2026-01-02,11:50:00,173600,174100,173200,174100,4291,745480000,2150,2141
141080,2026-01-02,11:55:00,174000,174200,173600,173900,5533,962710000,2569,2964
141080,2026-01-02,12:00:00,173800,174100,173400,173500,3101,538770000,1071,2030
141080,2026-01-02,12:05:00,173500,173500,172700,172700,2613,451970000,893,1720
141080,2026-01-02,12:10:00,172700,173000,172600,172800,2356,407020000,948,1408
141080,2026-01-02,12:15:00,172800,172900,172100,172400,3397,585960000,500,2897
141080,2026-01-02,12:20:00,172300,172500,172000,172100,2417,416230000,656,1761
141080,2026-01-02,12:25:00,172100,172300,171800,172000,3310,569240000,867,2443
141080,2026-01-02,12:30:00,171900,172200,171800,172200,1750,301050000,487,1263
141080,2026-01-02,12:35:00,172200,172300,171800,171900,1558,267900000,440,1118
141080,2026-01-02,12:40:00,171900,172000,171400,171500,5108,876410000,1132,3976
141080,2026-01-02,12:45:00,171500,171500,170700,170700,9368,1602110000,1678,7690
141080,2026-01-02,12:50:00,170700,171300,170700,171000,2929,500720000,1403,1526
141080,2026-01-02,12:55:00,171000,171200,170900,171000,3531,603740000,1533,1998
141080,2026-01-02,13:00:00,170900,171100,170700,170900,6307,1077920000,1111,5196
141080,2026-01-02,13:05:00,170800,171100,170500,171000,6712,1145600000,1446,5266
141080,2026-01-02,13:10:00,171000,171100,170600,170700,3361,574060000,1242,2119
141080,2026-01-02,13:15:00,170700,170800,170400,170500,5280,900600000,1125,4155
141080,2026-01-02,13:20:00,170400,170500,170300,170400,2818,480240000,930,1888
141080,2026-01-02,13:25:00,170300,170400,170000,170200,6714,1142440000,1777,4937
141080,2026-01-02,13:30:00,170200,170500,170000,170400,3829,651370000,1669,2160
141080,2026-01-02,13:35:00,170400,170500,170200,170200,2290,390170000,1129,1161
141080,2026-01-02,13:40:00,170200,170700,170200,170500,2934,499780000,1485,1449
141080,2026-01-02,13:45:00,170500,171100,170500,170800,2415,412390000,1028,1387
141080,2026-01-02,13:50:00,170800,171100,170600,171000,2277,389120000,1158,1119
141080,2026-01-02,13:55:00,171100,171200,170800,170900,2396,409580000,860,1536
141080,2026-01-02,14:00:00,170800,171300,170700,171100,2560,437530000,1326,1234
141080,2026-01-02,14:05:00,171100,171100,170700,170900,1941,331640000,902,1039
141080,2026-01-02,14:10:00,170800,171100,170700,170800,2281,389750000,934,1347
141080,2026-01-02,14:15:00,170800,171100,170700,170900,2196,375240000,873,1323
141080,2026-01-02,14:20:00,170900,171000,170700,170800,2417,412950000,1060,1357
141080,2026-01-02,14:25:00,170800,170900,170300,170300,5186,884640000,1455,3731
141080,2026-01-02,14:30:00,170400,170400,170100,170200,5193,883910000,1346,3847
141080,2026-01-02,14:35:00,170200,170500,170100,170100,3514,598060000,1216,2298
141080,2026-01-02,14:40:00,170100,170300,170000,170100,3751,638040000,1417,2334
141080,2026-01-02,14:45:00,170100,170500,170000,170200,4041,687470000,1943,2098
141080,2026-01-02,14:50:00,170300,170400,170100,170300,2817,479530000,1000,1817
141080,2026-01-02,14:55:00,170300,170300,169900,169900,7776,1322370000,855,6921
141080,2026-01-02,15:00:00,169900,170000,169800,170000,4848,823730000,1508,3340
141080,2026-01-02,15:05:00,170000,170000,169800,169900,3894,661520000,2190,1704
141080,2026-01-02,15:10:00,170000,170400,169900,170200,4412,750160000,3158,1254
141080,2026-01-02,15:15:00,170200,170700,170100,170500,2827,481840000,1427,1400
141080,2026-01-02,15:20:00,170400,171000,170400,170700,4484,766030000,2363,2121
141080,2026-01-02,15:30:00,170800,170800,170800,170800,5334,911040000,5188,0
141080,2026-01-05,09:05:00,169800,169800,165800,166100,25461,4251570000,12482,12979
141080,2026-01-05,09:10:00,166200,168100,166000,168100,8115,1353560000,4422,3693
141080,2026-01-05,09:15:00,168200,171400,168100,171000,14350,2442010000,9747,4603
141080,2026-01-05,09:20:00,171000,171600,170200,171200,9296,1590020000,5431,3865
141080,2026-01-05,09:25:00,171100,171600,170800,171200,5712,978080000,2619,3093
141080,2026-01-05,09:30:00,171300,171800,170500,171600,7206,1233390000,4451,2755
141080,2026-01-05,09:35:00,171500,172000,171500,171700,9274,1592740000,7133,2141
141080,2026-01-05,09:40:00,171700,172900,171300,172600,12051,2077020000,9106,2945
141080,2026-01-05,09:45:00,172600,174000,172500,173600,17649,3061200000,12267,5382
141080,2026-01-05,09:50:00,173600,173900,172800,173800,11441,1983750000,4963,6478
141080,2026-01-05,09:55:00,173800,174800,173700,174800,13069,2277300000,9433,3636
141080,2026-01-05,10:00:00,174800,175100,174200,174900,10942,1912210000,7058,3884
141080,2026-01-05,10:05:00,174900,175400,174600,174900,7902,1382630000,4438,3464
141080,2026-01-05,10:10:00,174900,176500,174700,175700,17017,2988740000,11844,5173
141080,2026-01-05,10:15:00,175600,176100,174100,174800,7860,1373880000,3399,4461
141080,2026-01-05,10:20:00,174900,175000,174400,174500,2651,463190000,1389,1262
141080,2026-01-05,10:25:00,174400,174700,174000,174700,6204,1080690000,3870,2334
141080,2026-01-05,10:30:00,174700,175300,174600,175000,2841,497090000,1914,927
141080,2026-01-05,10:35:00,175000,175100,174200,174200,2448,427730000,1125,1323
141080,2026-01-05,10:40:00,174200,174700,174000,174700,3182,554430000,1783,1399
141080,2026-01-05,10:45:00,174700,174800,174000,174100,2906,506640000,1248,1658
141080,2026-01-05,10:50:00,174100,174100,173800,174000,2407,418580000,1152,1255
141080,2026-01-05,10:55:00,174000,174300,173900,174300,2160,376160000,1250,910
141080,2026-01-05,11:00:00,174400,174700,174100,174500,1985,346260000,1019,966
141080,2026-01-05,11:05:00,174500,175100,174400,174900,2567,448910000,1909,658
141080,2026-01-05,11:10:00,175000,175000,174700,175000,2379,416010000,1457,922
141080,2026-01-05,11:15:00,174900,175300,174700,174900,3879,678650000,2698,1181
141080,2026-01-05,11:20:00,174900,175200,174600,175100,2122,371300000,1318,804
141080,2026-01-05,11:25:00,175000,175800,175000,175800,4056,711490000,3425,631
141080,2026-01-05,11:30:00,175800,175800,175500,175600,1637,287520000,1044,593
141080,2026-01-05,11:35:00,175500,175600,175400,175500,2244,393940000,1524,720
141080,2026-01-05,11:40:00,175500,176200,175400,176050,6469,1137520000,5736,733
141080,2026-01-05,11:45:00,176000,176300,176000,176100,3603,634740000,2936,667
141080,2026-01-05,11:50:00,176200,176600,176000,176500,10496,1851840000,9616,880
141080,2026-01-05,11:55:00,176600,176900,176500,176700,7472,1320400000,5759,1713
141080,2026-01-05,12:00:00,176800,176800,176500,176500,3457,610630000,1775,1682
141080,2026-01-05,12:05:00,176500,176600,176200,176400,1673,295140000,873,800
141080,2026-01-05,12:10:00,176300,176700,176300,176500,1931,340840000,1123,808
141080,2026-01-05,12:15:00,176600,176800,176500,176700,4748,838860000,3189,1559
141080,2026-01-05,12:20:00,176700,176800,176500,176800,3568,630360000,2026,1542
141080,2026-01-05,12:25:00,176700,177000,176500,176500,8712,1540760000,7469,1243
141080,2026-01-05,12:30:00,176600,177000,176400,176900,3189,563730000,2460,729
141080,2026-01-05,12:35:00,176900,176900,176600,176700,2664,470980000,1662,1002
141080,2026-01-05,12:40:00,176700,177000,176500,176900,3691,652530000,3014,677
141080,2026-01-05,12:45:00,176900,177100,176700,176800,4715,834350000,3723,992
141080,2026-01-05,12:50:00,176800,177000,176700,176900,3141,555560000,2533,608
141080,2026-01-05,12:55:00,176900,177000,176800,176900,2372,419590000,1542,830
141080,2026-01-05,13:00:00,176800,177200,176700,177200,5229,925490000,4226,1003
141080,2026-01-05,13:05:00,177000,177200,176500,176600,2598,459170000,1040,1558
141080,2026-01-05,13:10:00,176600,176900,176400,176500,1913,337990000,904,1009
141080,2026-01-05,13:15:00,176400,176600,176300,176400,1794,316570000,1119,675
141080,2026-01-05,13:20:00,176400,176600,176200,176200,1666,293940000,891,775
141080,2026-01-05,13:25:00,176300,176600,176100,176400,2173,383190000,1429,744
141080,2026-01-05,13:30:00,176300,176400,176100,176300,2163,381270000,1210,953
141080,2026-01-05,13:35:00,176300,176500,176100,176300,1268,223550000,682,586
141080,2026-01-05,13:40:00,176300,176400,175900,176100,2409,424420000,842,1567
141080,2026-01-05,13:45:00,176100,176200,176000,176000,1976,347900000,1003,973
141080,2026-01-05,13:50:00,176000,176400,175900,176300,1337,235480000,845,492
141080,2026-01-05,13:55:00,176300,176450,175900,176000,3039,535280000,1108,1931
141080,2026-01-05,14:00:00,176100,176200,175600,175600,2413,424530000,1028,1385
141080,2026-01-05,14:05:00,175600,175800,175500,175650,1808,317510000,1053,755
141080,2026-01-05,14:10:00,175650,176150,175650,175900,2410,423980000,1115,1295
141080,2026-01-05,14:15:00,175800,176000,175300,175800,3513,617080000,1483,2030
141080,2026-01-05,14:20:00,175800,176200,175500,175800,4967,873360000,3368,1599
141080,2026-01-05,14:25:00,176000,176200,174900,175300,11051,1939000000,6445,4606
141080,2026-01-05,14:30:00,175400,176000,175000,176000,3670,644330000,1986,1684
141080,2026-01-05,14:35:00,175800,176000,175400,175700,3333,585580000,1507,1826
141080,2026-01-05,14:40:00,175700,175800,175300,175300,2763,485160000,1041,1722
141080,2026-01-05,14:45:00,175300,175500,175000,175050,3182,557770000,1414,1768
141080,2026-01-05,14:50:00,175050,175500,175000,175500,2875,504090000,1852,1023
141080,2026-01-05,14:55:00,175400,175800,175200,175500,2542,446080000,1428,1114
141080,2026-01-05,15:00:00,175500,175800,175400,175400,2298,403430000,933,1365
141080,2026-01-05,15:05:00,175400,175600,175300,175400,2800,491170000,1651,1149
141080,2026-01-05,15:10:00,175400,175800,175300,175600,2650,464960000,1586,1064
141080,2026-01-05,15:15:00,175500,176000,175300,175700,3716,652780000,1891,1825
141080,2026-01-05,15:20:00,175600,176200,175600,176100,4598,809180000,2806,1792
141080,2026-01-05,15:30:00,176100,176100,176100,176100,5210,917480000,5159,0
141080,2026-01-06,09:05:00,175100,176300,173700,175600,12833,2239060000,5096,7727
141080,2026-01-06,09:10:00,175600,176200,174900,175700,3922,688140000,1407,2515
141080,2026-01-06,09:15:00,175900,177200,175900,176600,7883,1392190000,5037,2846
141080,2026-01-06,09:20:00,176600,177100,175100,176100,6566,1156010000,2542,4024
141080,2026-01-06,09:25:00,176100,178000,176100,177000,10966,1943890000,6964,4002
141080,2026-01-06,09:30:00,177100,177300,176200,176300,3847,680360000,1229,2618
141080,2026-01-06,09:35:00,176300,176700,175500,175700,4150,730400000,1590,2560
141080,2026-01-06,09:40:00,175600,176200,175300,175800,2411,423500000,878,1533
141080,2026-01-06,09:45:00,175900,177500,175700,177400,4394,776650000,2807,1587
141080,2026-01-06,09:50:00,177500,177700,176800,177400,5122,908030000,2256,2866
141080,2026-01-06,09:55:00,177400,178500,177300,177500,16656,2963690000,13017,3639
141080,2026-01-06,10:00:00,177600,177600,176400,176500,4671,826610000,500,4171
141080,2026-01-06,10:05:00,176500,176500,174600,174800,10027,1762130000,4555,5472
141080,2026-01-06,10:10:00,175000,175700,174900,175200,6151,1077620000,3066,3085
141080,2026-01-06,10:15:00,175300,175900,175100,175700,3093,542660000,1146,1947
141080,2026-01-06,10:20:00,175550,175900,175300,175500,3445,605010000,1200,2245
141080,2026-01-06,10:25:00,175600,175800,175200,175700,3500,614400000,782,2718
141080,2026-01-06,10:30:00,175800,175900,175500,175600,2583,453670000,770,1813
141080,2026-01-06,10:35:00,175600,175700,174900,175000,4709,825810000,870,3839
141080,2026-01-06,10:40:00,175000,175000,174700,174900,2891,505430000,794,2097
141080,2026-01-06,10:45:00,174900,175100,174100,174300,5301,925560000,1207,4094
141080,2026-01-06,10:50:00,174300,175100,174200,174500,3006,524300000,1169,1837
141080,2026-01-06,10:55:00,174500,174600,174100,174200,2902,505980000,1012,1890
141080,2026-01-06,11:00:00,174300,174500,174100,174400,2455,427890000,748,1707
141080,2026-01-06,11:05:00,174400,174500,174100,174300,3917,682560000,1876,2041
141080,2026-01-06,11:10:00,174400,174400,173900,174000,6036,1050560000,1498,4538
141080,2026-01-06,11:15:00,174000,174600,173600,174500,8147,1416520000,4301,3846
141080,2026-01-06,11:20:00,174500,174600,173900,174200,3251,566360000,1389,1862
141080,2026-01-06,11:25:00,174300,174600,173900,174200,3792,660360000,1348,2444
141080,2026-01-06,11:30:00,174100,174400,173800,173800,2556,444820000,779,1777
141080,2026-01-06,11:35:00,173800,174000,173600,173600,3502,608560000,649,2853
141080,2026-01-06,11:40:00,173600,175000,173500,174400,4426,770860000,1815,2611
141080,2026-01-06,11:45:00,174400,174900,174200,174600,2148,374750000,1257,891
141080,2026-01-06,11:50:00,174600,174900,174600,174700,2140,373950000,1287,853
141080,2026-01-06,11:55:00,174700,175000,174700,174800,1480,258720000,820,660
141080,2026-01-06,12:00:00,174800,175300,174700,175100,2503,437830000,1111,1392
141080,2026-01-06,12:05:00,174900,175200,174900,175100,1731,302990000,654,1077
141080,2026-01-06,12:10:00,175100,175200,175000,175000,2574,450710000,1155,1419
141080,2026-01-06,12:15:00,175100,175100,174700,174800,2535,443450000,657,1878
141080,2026-01-06,12:20:00,174800,175100,174700,174800,2367,413920000,1162,1205
141080,2026-01-06,12:25:00,174800,175000,174650,175000,2695,471150000,998,1697
141080,2026-01-06,12:30:00,175000,175100,174600,175000,2407,421030000,1441,966
141080,2026-01-06,12:35:00,175100,175200,174600,174800,2014,352380000,717,1297
141080,2026-01-06,12:40:00,174900,175200,174700,174900,1499,262190000,681,818
141080,2026-01-06,12:45:00,174900,175200,174800,175100,1766,309140000,913,853
141080,2026-01-06,12:50:00,175200,175200,174900,175000,2811,491980000,1195,1616
141080,2026-01-06,12:55:00,175100,175200,175000,175100,2720,476210000,1449,1271
141080,2026-01-06,13:00:00,175000,175200,174900,175100,1850,323880000,831,1019
141080,2026-01-06,13:05:00,175050,175200,174800,174900,2241,392160000,955,1286
141080,2026-01-06,13:10:00,174800,175000,174700,174800,2056,359510000,1030,1026
141080,2026-01-06,13:15:00,174800,174900,174600,174700,1930,337160000,708,1222
141080,2026-01-06,13:20:00,174700,174800,174600,174800,1763,307990000,810,953
141080,2026-01-06,13:25:00,174700,174800,174400,174500,3086,538680000,1706,1380
141080,2026-01-06,13:30:00,174500,174500,174000,174100,2954,514730000,738,2216
141080,2026-01-06,13:35:00,174200,174300,174000,174100,3699,644040000,1547,2152
141080,2026-01-06,13:40:00,174100,174200,173800,174000,4763,828440000,1284,3479
141080,2026-01-06,13:45:00,174000,174200,173700,173800,2625,456410000,873,1752
141080,2026-01-06,13:50:00,173700,174400,173600,174300,5074,883360000,3302,1772
141080,2026-01-06,13:55:00,174300,174900,174200,174600,3308,577640000,1129,2179
141080,2026-01-06,14:00:00,174600,174800,174300,174500,2717,474100000,1164,1553
141080,2026-01-06,14:05:00,174400,174600,174200,174400,2253,392870000,852,1401
141080,2026-01-06,14:10:00,174300,174500,174300,174400,2798,487910000,1280,1518
141080,2026-01-06,14:15:00,174300,174800,174200,174700,2970,518260000,1482,1488
141080,2026-01-06,14:20:00,174600,174900,174600,174700,2806,490190000,1118,1688
141080,2026-01-06,14:25:00,174700,175500,174600,175500,6017,1053570000,4157,1860
141080,2026-01-06,14:30:00,175500,175500,174800,175400,3523,617220000,1183,2340
141080,2026-01-06,14:35:00,175300,175400,175000,175100,3213,562790000,1275,1938
141080,2026-01-06,14:40:00,175200,175300,174800,175100,3838,671780000,1759,2079
141080,2026-01-06,14:45:00,175100,175200,174600,174600,3008,525630000,1116,1892
141080,2026-01-06,14:50:00,174600,175000,174500,174600,4560,796520000,1883,2677
