ticker,trade_date,eps,bps,per,pbr
031980,2020-01-02,3227,16372,2.67,0.53
031980,2020-01-03,3227,16372,2.58,0.51
031980,2020-01-06,3227,16372,2.58,0.51
031980,2020-01-07,3227,16372,2.53,0.5
031980,2020-01-08,3227,16372,2.56,0.5
031980,2020-01-09,3227,16372,2.78,0.55
031980,2020-01-10,3227,16372,2.85,0.56
031980,2020-01-13,3227,16372,2.9,0.57
031980,2020-01-14,3227,16372,2.87,0.56
031980,2020-01-15,3227,16372,2.83,0.56
031980,2020-01-16,3227,16372,2.97,0.59
031980,2020-01-17,3227,16372,3.01,0.59
031980,2020-01-20,3227,16372,2.97,0.58
031980,2020-01-21,3227,16372,2.9,0.57
031980,2020-01-22,3227,16372,2.92,0.57
031980,2020-01-23,3227,16372,2.86,0.56
031980,2020-01-28,3227,16372,2.75,0.54
031980,2020-01-29,3227,16372,2.79,0.55
031980,2020-01-30,3227,16372,2.63,0.52
031980,2020-01-31,3227,16372,2.61,0.51
031980,2020-02-03,3227,16372,2.67,0.53
031980,2020-02-04,3227,16372,2.74,0.54
031980,2020-02-05,3227,16372,2.72,0.54
031980,2020-02-06,3227,16372,2.79,0.55
031980,2020-02-07,3227,16372,2.76,0.54
031980,2020-02-10,3227,16372,2.73,0.54
031980,2020-02-11,3227,16372,2.73,0.54
031980,2020-02-12,3227,16372,2.85,0.56
031980,2020-02-13,3227,16372,2.87,0.57
031980,2020-02-14,3227,16372,2.87,0.57
031980,2020-02-17,3227,16372,2.86,0.56
031980,2020-02-18,3227,16372,2.79,0.55
031980,2020-02-19,3227,16372,2.82,0.56
031980,2020-02-20,3227,16372,2.82,0.56
031980,2020-02-21,3227,16372,2.68,0.53
031980,2020-02-24,3227,16372,2.59,0.51
031980,2020-02-25,3227,16372,2.59,0.51
031980,2020-02-26,3227,16372,2.51,0.49
031980,2020-02-27,3227,16372,2.32,0.46
031980,2020-02-28,3227,16372,2.16,0.43
031980,2020-03-02,3227,16372,2.22,0.44
031980,2020-03-03,3227,16372,2.22,0.44
031980,2020-03-04,3227,16372,2.24,0.44
031980,2020-03-05,3227,16372,2.26,0.45
031980,2020-03-06,3227,16372,2.22,0.44
031980,2020-03-09,3227,16372,2.11,0.42
031980,2020-03-10,3227,16372,2.12,0.42
031980,2020-03-11,3227,16372,2.05,0.4
031980,2020-03-12,3227,16372,1.88,0.37
031980,2020-03-13,3227,16372,1.79,0.35
031980,2020-03-16,3227,16372,1.67,0.33
031980,2020-03-17,3227,16372,1.74,0.34
031980,2020-03-18,3227,16372,1.64,0.32
031980,2020-03-19,3227,16372,1.41,0.28
031980,2020-03-20,3227,16372,1.58,0.31
031980,2020-03-23,3227,16372,1.51,0.3
031980,2020-03-24,3227,16372,1.59,0.31
031980,2020-03-25,3227,16372,1.72,0.34
031980,2020-03-26,3227,16372,1.78,0.35
031980,2020-03-27,3227,16372,1.84,0.36
031980,2020-03-30,3227,16372,1.87,0.37
031980,2020-03-31,3227,16372,1.85,0.36
031980,2020-04-01,3227,16372,1.85,0.37
031980,2020-04-02,3227,16372,1.88,0.37
031980,2020-04-03,3227,16372,1.89,0.37
031980,2020-04-06,3227,16372,1.95,0.38
031980,2020-04-07,3227,16372,2.01,0.4
031980,2020-04-08,3227,16372,2.04,0.4
031980,2020-04-09,3227,16372,2.09,0.41
031980,2020-04-10,3227,16372,2.08,0.41
031980,2020-04-13,3227,16372,2.04,0.4
031980,2020-04-14,3227,16372,2.08,0.41
031980,2020-04-16,3227,16372,2.08,0.41
031980,2020-04-17,3227,16372,2.17,0.43
031980,2020-04-20,3227,16372,2.2,0.43
031980,2020-04-21,3227,16372,2.19,0.43
031980,2020-04-22,3227,16372,2.17,0.43
031980,2020-04-23,3227,16372,2.22,0.44
031980,2020-04-24,3227,16372,2.2,0.43
031980,2020-04-27,3227,16372,2.23,0.44
031980,2020-04-28,3227,16372,2.23,0.44
031980,2020-04-29,3227,16372,2.29,0.45
031980,2020-05-04,950,15958,7.75,0.46
031980,2020-05-06,950,15958,7.92,0.47
031980,2020-05-07,950,15958,8.2,0.49
031980,2020-05-08,950,15958,8.38,0.5
031980,2020-05-11,950,15958,8.24,0.49
031980,2020-05-12,950,15958,8.11,0.48
031980,2020-05-13,950,15958,8.21,0.49
031980,2020-05-14,950,15958,8.07,0.48
031980,2020-05-15,950,15958,8.29,0.49
031980,2020-05-18,950,15958,7.96,0.47
031980,2020-05-19,950,15958,7.87,0.47
031980,2020-05-20,950,15958,7.99,0.48
031980,2020-05-21,950,15958,8.21,0.49
031980,2020-05-22,950,15958,8.21,0.49
031980,2020-05-25,950,15958,8.55,0.51
031980,2020-05-26,950,15958,8.55,0.51
031980,2020-05-27,950,15958,8.23,0.49
031980,2020-05-28,950,15958,7.89,0.47
031980,2020-05-29,950,15958,7.71,0.46
031980,2020-06-01,950,15958,7.95,0.47
031980,2020-06-02,950,15958,8.04,0.48
031980,2020-06-03,950,15958,8.03,0.48
031980,2020-06-04,950,15958,8.11,0.48
031980,2020-06-05,950,15958,8.29,0.49
031980,2020-06-08,950,15958,8.23,0.49
031980,2020-06-09,950,15958,8.21,0.49
031980,2020-06-10,950,15958,8.27,0.49
031980,2020-06-11,950,15958,8.07,0.48
031980,2020-06-12,950,15958,7.98,0.47
031980,2020-06-15,950,15958,7.63,0.45
031980,2020-06-16,950,15958,7.84,0.47
031980,2020-06-17,950,15958,7.66,0.46
031980,2020-06-18,950,15958,7.56,0.45
031980,2020-06-19,950,15958,7.46,0.44
031980,2020-06-22,950,15958,7.54,0.45
031980,2020-06-23,950,15958,7.36,0.44
031980,2020-06-24,950,15958,7.27,0.43
031980,2020-06-25,950,15958,7.19,0.43
031980,2020-06-26,950,15958,7.2,0.43
031980,2020-06-29,950,15958,7.2,0.43
031980,2020-06-30,950,15958,7.31,0.43
031980,2020-07-01,950,15958,7.29,0.43
031980,2020-07-02,950,15958,7.35,0.44
031980,2020-07-03,950,15958,7.25,0.43
031980,2020-07-06,950,15958,7.32,0.44
031980,2020-07-07,950,15958,7.19,0.43
031980,2020-07-08,950,15958,7.12,0.42
031980,2020-07-09,950,15958,7.05,0.42
031980,2020-07-10,950,15958,7.02,0.42
031980,2020-07-13,950,15958,7.02,0.42
031980,2020-07-14,950,15958,7.02,0.42
031980,2020-07-15,950,15958,7.04,0.42
031980,2020-07-16,950,15958,7.02,0.42
031980,2020-07-17,950,15958,7.02,0.42
031980,2020-07-20,950,15958,7.02,0.42
031980,2020-07-21,950,15958,7.21,0.43
031980,2020-07-22,950,15958,7.24,0.43
031980,2020-07-23,950,15958,7.19,0.43
031980,2020-07-24,950,15958,7.04,0.42
031980,2020-07-27,950,15958,7.39,0.44
031980,2020-07-28,950,15958,7.48,0.45
031980,2020-07-29,950,15958,7.49,0.45
031980,2020-07-30,950,15958,7.65,0.46
031980,2020-07-31,950,15958,7.58,0.45
031980,2020-08-03,950,15958,7.73,0.46
031980,2020-08-04,950,15958,8.0,0.48
031980,2020-08-05,950,15958,7.91,0.47
031980,2020-08-06,950,15958,7.79,0.46
031980,2020-08-07,950,15958,7.63,0.45
031980,2020-08-10,950,15958,7.58,0.45
