ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
200130,2019-03,1Q,106578839665,16711114549,13364423405,214471134181,110549335303,2019-05-14
200130,2019-06,2Q,116420044404,19821885205,15487187612,229975043001,105368460619,2019-08-14
200130,2019-09,3Q,108157461884,17449658438,13658649377,243594223674,112717419786,2019-11-14
200130,2019-12,4Q,438905517930,74075199972,54484240354,254551408668,131822570388,2020-03-30
200130,2020-03,1Q,129146338147,24120350207,18449061083,266170109278,150937340112,2020-05-14
200130,2020-06,2Q,174410751019,35489734231,27533651066,294648185054,159295541630,2020-08-14
200130,2020-09,3Q,146281114591,23126582742,18186523854,312965938326,148163787396,2020-11-16
200130,2020-12,4Q,606891551147,109157421189,80484423107,327592612483,180364126261,2021-03-11
200130,2021-03,1Q,173774765364,28443835521,21350344003,338805195982,204607790580,2021-05-17
200130,2021-06,2Q,146544615888,22991453482,17248494533,355743141696,163982212957,2021-08-17
200130,2021-09,3Q,128640801516,16166809598,13177529936,368914555042,131632509977,2021-11-15
200130,2021-12,4Q,593080731909,91646804126,69866436189,386640102278,151248567774,2022-03-15
200130,2022-03,1Q,140897852453,18129836576,12782761048,388218277281,177079385209,2022-05-16
200130,2022-06,2Q,167148957176,21024971464,14683020646,402885491275,187817784236,2022-08-16
200130,2022-09,3Q,131278171219,13241980027,9728291609,412565232627,187250114212,2022-11-14
200130,2022-12,4Q,575902994059,61123995164,40512833052,402687219013,214232016548,2023-03-20
200130,2023-03,1Q,137710141628,9572187253,6490059448,392041430483,268540216220,2023-05-12
200130,2023-06,2Q,156791052324,9929933940,7582884998,397411513722,284544349639,2023-08-14
200130,2023-09,3Q,139370230112,6783359301,5699308174,402475482988,271887807137,2023-11-14
200130,2023-12,4Q,579551538026,30255895443,19709709715,396302277528,298205937209,2024-03-18
200130,2024-03,1Q,160224580525,9536745322,6793481762,393623519522,315359823425,2024-05-16
200130,2024-06,2Q,165919886854,7793939093,5341063437,398362324826,309012131589,2024-08-14
200130,2024-09,3Q,147445125351,4066608254,3787768899,402214650124,304670605205,2024-11-14
200130,2024-12,4Q,615642004817,24623244501,18052524815,397094873584,295602347076,2025-03-17
200130,2025-03,1Q,136729459249,3580682439,1414122887,385628303146,306452319582,2025-05-15
200130,2025-06,2Q,164101635234,10702622108,6720333439,394024514919,290472731625,2025-08-14
200130,2025-09,3Q,151827996992,9713111137,6170842170,397330145339,282132360235,2025-11-14
