ticker,account_date,report_type,fs_type,revenue,operating_profit,net_profit,equity,debt,pub_date
403870,Sep-22,3Q,별도,47555599357,28604705566,34567959304,1.86019E+11,72106742035,2022-11-14
403870,Dec-22,4Q,별도,1.59336E+11,85174462019,86909297369,1.95372E+11,65554608357,2023-08-30
403870,Mar-23,1Q,별도,58757857704,34915964327,39700227788,2.24807E+11,65168143262,2023-05-15
403870,Jun-23,2Q,별도,47903682051,26592499006,29182680846,2.48077E+11,61174177544,2023-11-14
403870,Sep-23,3Q,별도,41948944138,21586186721,26813419671,2.66009E+11,43624362362,2023-11-14
403870,Dec-23,4Q,별도,1.79087E+11,95206074427,1.04224E+11,2.7708E+11,43607317988,2024-04-16
403870,Mar-24,1Q,별도,37753002044,19975063563,28115289063,2.93053E+11,60151809873,2024-05-16
403870,Jun-24,2Q,별도,27309098221,12051394435,18581890092,2.88611E+11,39146892329,2024-08-14
403870,Sep-24,3Q,별도,49721353095,26164140121,23398088316,2.41764E+11,48010902520,2024-11-14
403870,Dec-24,4Q,별도,1.81402E+11,93945693775,1.13819E+11,2.77911E+11,41985505352,2025-03-20
403870,Mar-25,1Q,별도,36895112050,18707372049,20037370085,2.46701E+11,98470981200,2025-05-16
403870,Jun-25,2Q,별도,51346984517,28643683818,26893783478,2.68995E+11,30065105065,2025-08-14
403870,Sep-25,3Q,별도,32046764312,15107237458,17665495279,2.83876E+11,55825867892,2025-11-14
