ticker,trade_date,individual_net_amt,foreign_net_amt,inst_net_amt,market_cap
036620,2020-01-02,1914498,-1914498,0,44855000000
036620,2020-01-03,-1349460,1349460,0,44166000000
036620,2020-01-06,-4294266,4294266,0,44219000000
036620,2020-01-07,100774450,-100774450,0,44007000000
036620,2020-01-08,-44133367,44133367,0,45226000000
036620,2020-01-09,-29750742,29750742,0,46764000000
036620,2020-01-10,-71267520,71267520,0,48514000000
036620,2020-01-13,-13905478,13905478,0,49998000000
036620,2020-01-14,-4094500,4094500,0,50369000000
036620,2020-01-15,-32628876,32628876,0,49468000000
036620,2020-01-16,-44639070,44639070,0,49309000000
036620,2020-01-17,-34272238,34271337,901,51195000000
036620,2020-01-20,-14590648,14589762,886,50343000000
036620,2020-01-21,6434220,-6434220,0,49775000000
036620,2020-01-22,-27462435,27462435,0,50286000000
036620,2020-01-23,-70118550,70118550,0,50286000000
036620,2020-01-28,-39184776,39184776,0,50457000000
036620,2020-01-29,131066880,-131066880,0,54548000000
036620,2020-01-30,-44616636,44616636,0,55059000000
036620,2020-01-31,-20854680,20854680,0,51991000000
036620,2020-02-03,-66500973,66500973,0,54377000000
036620,2020-02-04,-3615476672,3615476672,0,54434000000
036620,2020-02-05,11233437,-11233437,0,52332000000
036620,2020-02-06,-37054044,37054044,0,52673000000
036620,2020-02-07,-15859116,15859116,0,52673000000
036620,2020-02-10,18942040,-18942040,0,56707000000
036620,2020-02-11,-14388000,14388000,0,56821000000
036620,2020-02-12,3166775,-3166775,0,55968000000
036620,2020-02-13,2800992,-2800992,0,55570000000
036620,2020-02-14,7320330,-7320330,0,55570000000
036620,2020-02-17,5737356,-5737356,0,54207000000
036620,2020-02-18,-10988482,10988482,0,51763000000
036620,2020-02-19,-8783862,8783862,0,51763000000
036620,2020-02-20,30337664,-30337664,0,50911000000
036620,2020-02-21,-102076506,102076506,0,50116000000
036620,2020-02-24,-49079888,39302032,9777856,47502000000
036620,2020-02-25,-50286205,46226435,4059770,47445000000
036620,2020-02-26,5566450,-5566450,0,46309000000
036620,2020-02-27,24185600,-24181600,-4000,45456000000
036620,2020-02-28,13865067,-13865067,0,42445000000
036620,2020-03-02,-23938016,23956280,-18264,43240000000
036620,2020-03-03,18571325,-18571325,0,44036000000
036620,2020-03-04,5586471,-5586471,0,45627000000
036620,2020-03-05,27553217,-27553217,0,46763000000
036620,2020-03-06,-23787232,23787232,0,46820000000
036620,2020-03-09,68264478,-68264478,0,43979000000
036620,2020-03-10,3356292,-3356292,0,44206000000
036620,2020-03-11,9935786,-9935786,0,43524000000
036620,2020-03-12,47877430,-47877430,0,40342000000
036620,2020-03-13,-40784400,40784400,0,34092000000
036620,2020-03-16,123518994,-122271346,-1247648,34888000000
036620,2020-03-17,-3199820,3199820,0,35229000000
036620,2020-03-18,27262222,-27262222,0,33978000000
036620,2020-03-19,12206676,-12206676,0,33865000000
036620,2020-03-20,22825602,-22825602,0,33581000000
036620,2020-03-23,16546839,-14581179,-1965660,30853000000
036620,2020-03-24,-9063594,15134634,-6071040,31706000000
036620,2020-03-25,-5294070,5294070,0,33524000000
036620,2020-03-26,-2659848,2659848,0,34888000000
036620,2020-03-27,15275262,-15275262,0,33297000000
036620,2020-03-30,-11349645,11349645,0,33353000000
036620,2020-03-31,-10371858,10371858,0,34206000000
036620,2020-04-01,-2337375,2337375,0,32672000000
036620,2020-04-02,81320580,-81319910,-670,38070000000
036620,2020-04-03,-23076599,23076599,0,36194000000
036620,2020-04-06,-4852980,4852980,0,36649000000
036620,2020-04-07,-11899820,11899820,0,38922000000
036620,2020-04-08,-5099841,5099841,0,38467000000
036620,2020-04-09,-5637100,5637100,0,39774000000
036620,2020-04-10,3764640,-3764640,0,39206000000
036620,2020-04-13,10739232,-10739232,0,38183000000
036620,2020-04-14,-858990,858990,0,38922000000
036620,2020-04-16,14084151,-14084151,0,39717000000
036620,2020-04-17,9056736,-9056736,0,40229000000
036620,2020-04-20,-4139300,4139300,0,40342000000
036620,2020-04-21,-4944192,4944192,0,40001000000
036620,2020-04-22,5755290,-5755290,0,39206000000
036620,2020-04-23,-272448,272448,0,39092000000
036620,2020-04-24,2863136,-2863136,0,38808000000
036620,2020-04-27,4562280,-4562280,0,38865000000
036620,2020-04-28,-6213870,6214548,-678,38524000000
036620,2020-04-29,10233019,-10233019,0,39263000000
036620,2020-05-04,3908109,-3908109,0,39717000000
036620,2020-05-06,6117930,-6117930,0,39888000000
036620,2020-05-07,-14343974,14343974,0,41024000000
036620,2020-05-08,-3557499,3557499,0,41877000000
036620,2020-05-11,6571110,-6571110,0,42843000000
036620,2020-05-12,8590032,-8590032,0,42502000000
036620,2020-05-13,59045874,-59045874,0,47218000000
036620,2020-05-14,304000,-304000,0,45456000000
036620,2020-05-15,10214416,-10214416,0,45399000000
036620,2020-05-18,-10197792,10197792,0,44490000000
036620,2020-05-19,-1256070,1256070,0,42331000000
036620,2020-05-20,-38076760,38076760,0,43183000000
036620,2020-05-21,-9767316,9767316,0,43297000000
036620,2020-05-22,4299260,-4299260,0,42558000000
