ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
015750,2020-01-02,-206000000,0,-16000000,0,0,0,0,0,0
015750,2020-01-03,-136000000,-29000000,0,-1000000,0,0,0,0,0
015750,2020-01-06,-91000000,-83000000,1000000,-2000000,-2000000,0,0,0,0
015750,2020-01-07,38000000,0,-1000000,0,0,-6000000,0,0,0
015750,2020-01-08,-4000000,0,2000000,0,0,0,0,0,1000000
015750,2020-01-09,12000000,57000000,-1000000,0,0,-2000000,0,0,0
015750,2020-01-10,-56000000,21000000,-10000000,0,0,0,0,0,0
015750,2020-01-13,-57000000,-2000000,-2000000,0,0,1000000,0,0,0
015750,2020-01-14,-92000000,-1000000,-6000000,-4000000,0,-5000000,0,0,0
015750,2020-01-15,-137000000,4000000,0,-6000000,0,0,0,0,0
015750,2020-01-16,72000000,-56000000,1000000,0,0,0,0,17000000,0
015750,2020-01-17,28000000,-1000000,-2000000,0,0,0,0,3000000,-2000000
015750,2020-01-20,-98000000,0,-38000000,-1000000,0,0,0,0,0
015750,2020-01-21,-164000000,-37000000,3000000,-4000000,0,-1000000,0,0,0
015750,2020-01-22,133000000,0,5000000,0,0,0,0,6000000,0
015750,2020-01-23,-163000000,-457000000,-3000000,75000000,0,-1000000,0,103000000,-3000000
015750,2020-01-28,-97000000,5000000,-6000000,12000000,0,0,0,0,0
015750,2020-01-29,-2000000,14000000,2000000,-5000000,0,-1000000,0,1000000,0
015750,2020-01-30,-102000000,-10000000,3000000,0,0,0,0,0,0
015750,2020-01-31,117000000,-207000000,8000000,0,0,-1000000,0,1000000,-3000000
015750,2020-02-03,142000000,-3000000,1000000,-118000000,0,0,0,3000000,1000000
015750,2020-02-04,-77000000,37000000,-1000000,-1000000,0,0,0,-17000000,1000000
015750,2020-02-05,-169000000,0,0,0,0,0,0,-1000000,0
015750,2020-02-06,-8000000,-180000000,0,0,0,0,0,-16000000,0
015750,2020-02-07,-135000000,0,-10000000,7000000,0,0,-2000000,0,0
015750,2020-02-10,39000000,-56000000,-2000000,-55000000,0,-11000000,0,0,1000000
015750,2020-02-11,48000000,54000000,5000000,0,0,0,0,-16000000,0
015750,2020-02-12,-16000000,0,-2000000,-1000000,0,0,0,16000000,3000000
015750,2020-02-13,-184000000,0,-8000000,-9000000,0,0,0,-3000000,0
015750,2020-02-14,-73000000,-1000000,0,-3000000,0,0,0,-2000000,-7000000
015750,2020-02-17,-15000000,0,0,-2000000,0,0,0,0,-7000000
015750,2020-02-18,-120000000,0,0,0,0,0,0,0,0
015750,2020-02-19,-4000000,0,3000000,0,0,0,0,0,0
015750,2020-02-20,-10000000,0,4000000,0,0,0,0,-1000000,0
015750,2020-02-21,-35000000,0,-4000000,0,0,-45000000,0,0,0
015750,2020-02-24,130000000,1000000,4000000,0,0,0,0,4000000,1000000
015750,2020-02-25,197000000,20000000,7000000,0,0,0,-24000000,0,2000000
015750,2020-02-26,20000000,0,-1000000,0,0,0,0,0,0
015750,2020-02-27,-102000000,0,-11000000,-1000000,0,0,0,102000000,0
015750,2020-02-28,50000000,237000000,-665000000,0,0,0,0,58000000,0
015750,2020-03-02,8000000,85000000,4000000,2000000,0,0,0,0,0
015750,2020-03-03,-50000000,4000000,-248000000,-6000000,0,0,0,0,0
015750,2020-03-04,58000000,-31000000,-161000000,0,0,0,0,0,0
015750,2020-03-05,-125000000,0,1000000,-1000000,0,0,0,0,0
015750,2020-03-06,-86000000,-10000000,-3000000,-1000000,0,-16000000,0,0,0
015750,2020-03-09,21000000,-49000000,-475000000,0,0,0,0,0,1000000
015750,2020-03-10,312000000,-1000000,11000000,2000000,0,0,0,0,0
015750,2020-03-11,55000000,-109000000,-3000000,8000000,0,-15000000,0,0,2000000
015750,2020-03-12,-15000000,-90000000,-12000000,1000000,0,0,0,0,0
015750,2020-03-13,249000000,-49000000,5000000,6000000,0,0,0,0,0
015750,2020-03-16,-36000000,-55000000,1000000,0,-29000000,-11000000,-1000000,0,0
015750,2020-03-17,125000000,-132000000,1000000,9000000,0,-27000000,-3000000,121000000,0
015750,2020-03-18,-149000000,-107000000,-1000000,-1000000,0,-12000000,0,121000000,0
015750,2020-03-19,329000000,-811000000,3000000,-242000000,0,-24000000,0,186000000,-2000000
015750,2020-03-20,64000000,-145000000,0,3000000,0,-1000000,0,104000000,0
015750,2020-03-23,-167000000,-112000000,-5000000,0,0,0,0,105000000,0
015750,2020-03-24,178000000,25000000,0,0,0,0,0,97000000,0
015750,2020-03-25,-115000000,187000000,-3000000,0,0,0,0,119000000,0
015750,2020-03-26,-181000000,76000000,0,-21000000,0,0,0,169000000,0
015750,2020-03-27,-54000000,-13000000,0,-1000000,0,0,0,123000000,0
015750,2020-03-30,-27000000,0,0,-4000000,0,0,0,119000000,0
015750,2020-03-31,-106000000,40000000,0,-11000000,0,0,0,124000000,0
015750,2020-04-01,-27000000,-51000000,0,0,0,0,0,126000000,-2000000
015750,2020-04-02,117000000,10000000,0,2000000,0,0,0,125000000,-2000000
015750,2020-04-03,-90000000,-3000000,0,-1000000,0,0,0,116000000,0
015750,2020-04-06,53000000,15000000,0,0,0,0,0,132000000,0
015750,2020-04-07,-134000000,-3000000,0,-9000000,0,0,0,0,0
015750,2020-04-08,-84000000,0,0,-3000000,0,0,0,0,0
015750,2020-04-09,-74000000,0,0,-4000000,0,0,0,0,0
015750,2020-04-10,-101000000,-9000000,0,-1000000,0,0,0,0,0
015750,2020-04-13,-93000000,-32000000,0,0,0,0,0,0,0
015750,2020-04-14,33000000,0,0,1000000,0,0,0,0,0
015750,2020-04-16,-66000000,-12000000,0,-1000000,0,0,0,0,-2000000
015750,2020-04-17,75000000,21000000,-1000000,0,0,0,0,0,1000000
015750,2020-04-20,-82000000,-7000000,0,-8000000,0,0,0,0,-117000000
015750,2020-04-21,-42000000,-4000000,0,0,0,0,0,0,34000000
015750,2020-04-22,-62000000,-1000000,0,0,0,0,0,0,-1000000
015750,2020-04-23,-12000000,-4000000,0,0,0,0,0,-1000000,-1000000
015750,2020-04-24,-46000000,-23000000,0,0,0,0,0,0,0
015750,2020-04-27,3000000,58000000,0,0,0,0,0,0,0
015750,2020-04-28,-55000000,-3000000,4000000,-8000000,0,0,0,0,0
015750,2020-04-29,-43000000,0,-4000000,-1000000,0,0,0,0,-34000000
015750,2020-05-04,-91000000,0,0,-5000000,0,0,0,0,0
015750,2020-05-06,87000000,0,4000000,0,0,0,0,6000000,-5000000
015750,2020-05-07,-3000000,-6000000,0,0,0,2000000,0,0,-109000000
015750,2020-05-08,48000000,-2000000,0,-2000000,0,116000000,0,-12000000,-36000000
015750,2020-05-11,-154000000,-13000000,0,-10000000,0,159000000,0,0,-46000000
015750,2020-05-12,-36000000,0,0,0,0,0,0,0,0
015750,2020-05-13,52000000,-1000000,0,0,0,0,0,0,3000000
015750,2020-05-14,-15000000,0,0,0,0,0,0,0,11000000
015750,2020-05-15,29000000,1000000,0,0,0,0,0,4000000,263000000
015750,2020-05-18,-19000000,131000000,0,0,0,-11000000,0,13000000,72000000
015750,2020-05-19,45000000,111000000,-2000000,0,0,-2000000,0,-4000000,-348000000
015750,2020-05-20,4000000,-1000000,2000000,0,0,-29000000,0,-5000000,18000000
015750,2020-05-21,-44000000,-1000000,0,0,0,-15000000,0,0,1000000
015750,2020-05-22,-96000000,-7000000,0,-5000000,0,-18000000,0,0,13000000
015750,2020-05-25,25000000,-2000000,0,-3000000,0,0,0,3000000,3000000
015750,2020-05-26,50000000,-3000000,0,0,0,-10000000,0,-2000000,0
015750,2020-05-27,-61000000,5000000,0,-3000000,0,-14000000,0,-3000000,0
015750,2020-05-28,-57000000,-50000000,0,0,0,0,0,0,5000000
015750,2020-05-29,193000000,-275000000,0,-2000000,0,0,0,0,-3000000
015750,2020-06-01,5000000,41000000,0,-3000000,0,-7000000,0,-3000000,-5000000
015750,2020-06-02,46000000,0,0,0,0,-8000000,0,-37000000,-131000000
015750,2020-06-03,25000000,0,0,0,0,-35000000,0,9000000,8000000
015750,2020-06-04,-93000000,-11000000,0,0,0,0,0,-6000000,15000000
015750,2020-06-05,2000000,11000000,0,0,0,0,0,-16000000,17000000
015750,2020-06-08,5000000,-11000000,0,-4000000,0,0,0,0,0
015750,2020-06-09,-38000000,4000000,0,0,0,0,0,0,-50000000
015750,2020-06-10,-14000000,-2000000,0,-1000000,0,0,0,0,-118000000
015750,2020-06-11,-127000000,-143000000,0,-13000000,0,-2000000,0,0,-31000000
015750,2020-06-12,-41000000,-60000000,0,-10000000,0,0,0,0,8000000
015750,2020-06-15,-42000000,-100000000,0,-4000000,0,0,0,0,0
015750,2020-06-16,107000000,19000000,0,-1000000,0,0,0,3000000,0
015750,2020-06-17,-95000000,0,0,0,0,-6000000,0,0,0
015750,2020-06-18,-78000000,0,0,-4000000,0,3000000,0,0,0
015750,2020-06-19,-54000000,-10000000,-2000000,0,0,17000000,0,2000000,0
015750,2020-06-22,-36000000,44000000,0,0,-1000000,-12000000,0,0,-183000000
015750,2020-06-23,-40000000,4000000,0,0,0,4000000,0,0,0
015750,2020-06-24,16000000,-3000000,0,0,0,11000000,0,-2000000,0
015750,2020-06-25,-112000000,-7000000,0,3000000,0,2000000,0,0,0
015750,2020-06-26,3000000,0,0,0,0,9000000,0,0,0
015750,2020-06-29,-95000000,-7000000,0,3000000,0,0,0,2000000,0
015750,2020-06-30,40000000,0,3000000,2000000,0,0,0,0,0
015750,2020-07-01,6000000,-2000000,1000000,0,0,0,0,0,0
015750,2020-07-02,48000000,1000000,1000000,0,0,0,0,0,0
015750,2020-07-03,-32000000,1000000,-1000000,0,0,0,0,0,0
015750,2020-07-06,17000000,3000000,-2000000,4000000,0,-2000000,0,1000000,-4000000
015750,2020-07-07,-91000000,0,-1000000,0,0,0,0,0,0
015750,2020-07-08,-27000000,0,0,-1000000,0,0,0,-2000000,0
015750,2020-07-09,-45000000,0,0,-2000000,0,0,0,0,0
015750,2020-07-10,-109000000,-1000000,0,1000000,0,0,0,4000000,0
015750,2020-07-13,24000000,17000000,1000000,0,0,0,0,-1000000,-1000000
015750,2020-07-14,-8000000,-4000000,0,3000000,0,0,0,0,0
015750,2020-07-15,45000000,0,0,1000000,0,0,0,-2000000,4000000
015750,2020-07-16,-68000000,-54000000,0,0,0,0,0,0,2000000
015750,2020-07-17,7000000,0,0,0,0,5000000,0,0,2000000
015750,2020-07-20,-20000000,63000000,1000000,0,0,0,0,7000000,-2000000
015750,2020-07-21,93000000,31000000,-2000000,0,0,0,0,-7000000,-2000000
015750,2020-07-22,-36000000,-20000000,3000000,0,-2000000,0,0,0,0
015750,2020-07-23,-22000000,-34000000,0,0,0,0,0,4000000,3000000
015750,2020-07-24,4000000,2000000,-2000000,0,0,1000000,0,53000000,-3000000
015750,2020-07-27,24000000,-3000000,-1000000,0,0,-9000000,0,0,1000000
015750,2020-07-28,-15000000,24000000,1000000,-3000000,0,-9000000,0,0,0
015750,2020-07-29,-34000000,0,-1000000,0,0,-1000000,0,0,1000000
015750,2020-07-30,6000000,71000000,0,-1000000,0,-10000000,0,0,-3000000
015750,2020-07-31,-29000000,-6000000,0,-14000000,0,-17000000,0,1000000,-1000000
015750,2020-08-03,2000000,28000000,0,0,0,0,0,0,0
015750,2020-08-04,45000000,0,0,-22000000,0,0,0,2000000,-3000000
015750,2020-08-05,77000000,19000000,0,-1000000,0,-15000000,0,1000000,-1000000
015750,2020-08-06,31000000,311000000,1000000,-5000000,0,0,0,-93000000,2000000
015750,2020-08-07,4000000,4000000,0,-6000000,0,0,0,-3000000,2000000
015750,2020-08-10,-38000000,40000000,0,-1000000,0,-1000000,0,58000000,-6000000
015750,2020-08-11,-33000000,0,0,0,0,-10000000,0,-3000000,-1000000
015750,2020-08-12,-63000000,-47000000,-3000000,0,0,-6000000,0,0,-2000000
015750,2020-08-13,77000000,7000000,4000000,-1000000,0,-9000000,0,0,3000000
015750,2020-08-14,-8000000,-132000000,2000000,0,0,0,0,-23000000,3000000
015750,2020-08-18,-32000000,-75000000,-5000000,-2000000,0,-10000000,0,-1000000,4000000
015750,2020-08-19,65000000,-1000000,3000000,0,0,-10000000,0,0,-1000000
015750,2020-08-20,-117000000,-3000000,-2000000,0,0,-23000000,0,2000000,-1000000
015750,2020-08-21,65000000,65000000,0,0,0,0,0,5000000,-1000000
015750,2020-08-24,63000000,47000000,0,3000000,0,-10000000,0,0,1000000
015750,2020-08-25,50000000,-64000000,0,1000000,0,0,0,0,-4000000
015750,2020-08-26,-118000000,-124000000,0,-9000000,0,0,0,0,1000000
015750,2020-08-27,-62000000,-65000000,0,0,0,0,0,0,0
015750,2020-08-28,109000000,-7000000,0,-1000000,0,0,0,0,-4000000
015750,2020-08-31,53000000,28000000,0,18000000,0,-1000000,0,0,1000000
015750,2020-09-01,-26000000,-26000000,0,5000000,-1000000,0,0,2000000,3000000
015750,2020-09-02,27000000,-4000000,0,3000000,0,-1000000,0,0,2000000
015750,2020-09-03,8000000,-2000000,0,4000000,0,0,0,0,0
015750,2020-09-04,-93000000,-36000000,0,2000000,0,0,0,0,0
015750,2020-09-07,-71000000,-6000000,0,0,0,0,0,0,0
015750,2020-09-08,27000000,-1000000,0,5000000,0,0,0,0,0
015750,2020-09-09,-22000000,-7000000,0,0,0,0,0,0,0
015750,2020-09-10,28000000,-6000000,0,-2000000,0,0,0,0,1000000
015750,2020-09-11,-117000000,-59000000,0,-9000000,0,0,0,3000000,0
015750,2020-09-14,-14000000,0,0,0,0,0,0,23000000,-3000000
015750,2020-09-15,34000000,-97000000,0,-6000000,0,0,0,-24000000,3000000
015750,2020-09-16,-132000000,-123000000,0,-4000000,0,-8000000,0,-299000000,41000000
015750,2020-09-17,-111000000,34000000,50000000,-11000000,0,0,0,-22000000,-24000000
015750,2020-09-18,52000000,-53000000,18000000,0,0,0,0,-5000000,-11000000
015750,2020-09-21,-84000000,-19000000,0,-7000000,0,0,0,1000000,-7000000
015750,2020-09-22,-27000000,-32000000,0,-1000000,0,0,0,0,4000000
015750,2020-09-23,-9000000,-8000000,3000000,0,0,0,0,0,-2000000
015750,2020-09-24,-62000000,-5000000,-1000000,-17000000,0,0,0,5000000,0
015750,2020-09-25,-49000000,0,0,0,0,0,0,0,-1000000
015750,2020-09-28,32000000,-17000000,3000000,-9000000,0,0,0,0,0
015750,2020-09-29,-20000000,0,0,0,0,0,0,2000000,2000000
015750,2020-10-05,157000000,69000000,-2000000,2000000,0,0,0,15000000,-6000000
015750,2020-10-06,-113000000,-69000000,-73000000,-3000000,0,0,0,-27000000,2000000
015750,2020-10-07,-17000000,80000000,2000000,0,0,0,0,29000000,-6000000
015750,2020-10-08,-83000000,-81000000,-4000000,-30000000,0,0,0,-19000000,3000000
015750,2020-10-12,47000000,0,6000000,-13000000,0,0,0,0,-1000000
015750,2020-10-13,-37000000,-5000000,-3000000,-21000000,0,0,0,4000000,1000000
