"ticker","ticker_name","market_type","sector","listing_date"
"035760","CJ ENM","KOSDAQ","코스닥 오락·문화","1999-11-23"
"195940","HK이노엔","KOSDAQ","코스닥 제약","2021-08-09"
"028300","HLB","KOSDAQ","코스닥 제약","1996-07-27"
"403870","HPSP","KOSDAQ","코스닥 기계·장비","2022-07-15"
"095340","ISC","KOSDAQ","코스닥 유통","2007-10-01"
"035900","JYP Ent.","KOSDAQ","코스닥 오락·문화","2001-08-30"
"060370","LS마린솔루션","KOSDAQ","코스닥 건설","2002-02-15"
"417200","LS머트리얼즈","KOSDAQ","코스닥 전기·전자","2023-12-12"
"060250","NHN KCP","KOSDAQ","코스닥 금융","2002-01-08"
"218410","RFHIC","KOSDAQ","코스닥 전기·전자","2015-06-30"
"036540","SFA반도체","KOSDAQ","코스닥 전기·전자","2001-05-02"
"067160","SOOP","KOSDAQ","코스닥 IT 서비스","2003-12-19"
"399720","가온칩스","KOSDAQ","코스닥 전기·전자","2022-05-20"
"036620","감성코퍼레이션","KOSDAQ","코스닥 유통","2000-01-11"
"098460","고영","KOSDAQ","코스닥 기계·장비","2008-06-03"
"215000","골프존","KOSDAQ","코스닥 IT 서비스","2015-04-03"
"121600","나노신소재","KOSDAQ","코스닥 화학","2011-02-09"
"253590","네오셈","KOSDAQ","코스닥 기계·장비","2018-04-04"
"095660","네오위즈","KOSDAQ","코스닥 IT 서비스","2007-07-02"
"007390","네이처셀","KOSDAQ","코스닥 제약","1992-11-30"
"348210","넥스틴","KOSDAQ","코스닥 기계·장비","2020-10-08"
"225570","넥슨게임즈","KOSDAQ","코스닥 IT 서비스","2015-09-25"
"032190","다우데이타","KOSDAQ","코스닥 유통","1999-12-21"
"078600","대주전자재료","KOSDAQ","코스닥 전기·전자","2004-12-10"
"213420","덕산네오룩스","KOSDAQ","코스닥 전기·전자","2015-02-06"
"194480","데브시스터즈","KOSDAQ","코스닥 IT 서비스","2014-10-06"
"086450","동국제약","KOSDAQ","코스닥 제약","2007-05-29"
"033500","동성화인텍","KOSDAQ","코스닥 화학","1997-12-19"
"005290","동진쎄미켐","KOSDAQ","코스닥 화학","1999-12-21"
"025900","동화기업","KOSDAQ","코스닥 종이·목재","1995-08-07"
"131970","두산테스나","KOSDAQ","코스닥 일반서비스","2013-10-22"
"347850","디앤디파마텍","KOSDAQ","코스닥 일반서비스","2024-05-02"
"376300","디어유","KOSDAQ","코스닥 IT 서비스","2021-11-10"
"281740","레이크머티리얼즈","KOSDAQ","코스닥 화학","2017-12-12"
"277810","레인보우로보틱스","KOSDAQ","코스닥 기계·장비","2021-02-03"
"108490","로보티즈","KOSDAQ","코스닥 기계·장비","2018-10-26"
"328130","루닛","KOSDAQ","코스닥 IT 서비스","2022-07-21"
"141080","리가켐바이오","KOSDAQ","코스닥 일반서비스","2013-05-10"
"058470","리노공업","KOSDAQ","코스닥 전기·전자","2001-12-18"
"215200","메가스터디교육","KOSDAQ","코스닥 일반서비스","2015-05-04"
"086900","메디톡스","KOSDAQ","코스닥 제약","2009-01-16"
"140410","메지온","KOSDAQ","코스닥 일반서비스","2012-01-20"
"059090","미코","KOSDAQ","코스닥 전기·전자","2002-01-15"
"053030","바이넥스","KOSDAQ","코스닥 제약","2001-08-07"
"310210","보로노이","KOSDAQ","코스닥 일반서비스","2022-06-24"
"018290","브이티","KOSDAQ","코스닥 화학","1994-09-07"
"083650","비에이치아이","KOSDAQ","코스닥 기계·장비","2005-12-02"
"000250","삼천당제약","KOSDAQ","코스닥 제약","2000-10-04"
"006730","서부T&D","KOSDAQ","코스닥 일반서비스","1995-10-06"
"046890","서울반도체","KOSDAQ","코스닥 전기·전자","2002-01-17"
"178320","서진시스템","KOSDAQ","코스닥 전기·전자","2017-03-27"
"171090","선익시스템","KOSDAQ","코스닥 기계·장비","2017-09-20"
"014620","성광벤드","KOSDAQ","코스닥 금속","2001-01-11"
"015750","성우하이텍","KOSDAQ","코스닥 운송장비·부품","1995-11-04"
"365340","성일하이텍","KOSDAQ","코스닥 화학","2022-07-28"
"108860","셀바스AI","KOSDAQ","코스닥 IT 서비스","2009-12-10"
"068760","셀트리온제약","KOSDAQ","코스닥 제약","2006-02-03"
"357780","솔브레인","KOSDAQ","코스닥 화학","2020-08-06"
"036830","솔브레인홀딩스","KOSDAQ","코스닥 일반서비스","2000-01-18"
"304100","솔트룩스","KOSDAQ","코스닥 IT 서비스","2020-07-23"
"253450","스튜디오드래곤","KOSDAQ","코스닥 오락·문화","2017-11-24"
"025320","시노펙스","KOSDAQ","코스닥 전기·전자","1995-04-20"
"065350","신성델타테크","KOSDAQ","코스닥 전기·전자","2004-08-06"
"257720","실리콘투","KOSDAQ","코스닥 유통","2021-09-29"
"222800","심텍","KOSDAQ","코스닥 전기·전자","2015-08-07"
"050890","쏠리드","KOSDAQ","코스닥 전기·전자","2005-07-08"
"222080","씨아이에스","KOSDAQ","코스닥 기계·장비","2015-09-02"
"352480","씨앤씨인터내셔널","KOSDAQ","코스닥 화학","2021-05-17"
"096530","씨젠","KOSDAQ","코스닥 제약","2010-09-10"
"025980","아난티","KOSDAQ","코스닥 일반서비스","1996-01-06"
"214430","아이쓰리시스템","KOSDAQ","코스닥 전기·전자","2015-07-30"
"053800","안랩","KOSDAQ","코스닥 IT 서비스","2001-09-13"
"196170","알테오젠","KOSDAQ","코스닥 일반서비스","2014-12-12"
"101490","에스앤에스텍","KOSDAQ","코스닥 전기·전자","2009-04-14"
"056190","에스에프에이","KOSDAQ","코스닥 기계·장비","2001-12-18"
"041510","에스엠","KOSDAQ","코스닥 오락·문화","2000-04-27"
"237690","에스티팜","KOSDAQ","코스닥 제약","2016-06-23"
"058610","에스피지","KOSDAQ","코스닥 전기·전자","2002-07-23"
"298380","에이비엘바이오","KOSDAQ","코스닥 제약","2018-12-19"
"101360","에코앤드림","KOSDAQ","코스닥 화학","2020-07-30"
"086520","에코프로","KOSDAQ","코스닥 금융","2007-07-20"
"247540","에코프로비엠","KOSDAQ","코스닥 전기·전자","2019-03-05"
"383310","에코프로에이치엔","KOSDAQ","코스닥 화학","2021-05-28"
"036810","에프에스티","KOSDAQ","코스닥 전기·전자","2000-01-18"
"348370","엔켐","KOSDAQ","코스닥 화학","2021-11-01"
"290650","엘앤씨바이오","KOSDAQ","코스닥 제약","2018-11-01"
"058970","엠로","KOSDAQ","코스닥 IT 서비스","2021-08-13"
"039200","오스코텍","KOSDAQ","코스닥 제약","2007-01-17"
"226950","올릭스","KOSDAQ","코스닥 일반서비스","2018-07-18"
"232140","와이씨","KOSDAQ","코스닥 기계·장비","2015-12-24"
"122870","와이지엔터테인먼트","KOSDAQ","코스닥 오락·문화","2011-11-23"
"032820","우리기술","KOSDAQ","코스닥 전기·전자","2000-06-22"
"041190","우리기술투자","KOSDAQ","코스닥 금융","2000-06-09"
"240810","원익IPS","KOSDAQ","코스닥 기계·장비","2016-05-02"
"074600","원익QnC","KOSDAQ","코스닥 비금속","2003-12-12"
"336570","원텍","KOSDAQ","코스닥 의료·정밀기기","2019-12-19"
"069080","웹젠","KOSDAQ","코스닥 IT 서비스","2003-05-23"
"112040","위메이드","KOSDAQ","코스닥 IT 서비스","2009-12-18"
"101730","위메이드맥스","KOSDAQ","코스닥 IT 서비스","2009-06-03"
"388720","유일로보틱스","KOSDAQ","코스닥 기계·장비","2022-03-18"
"056080","유진로봇","KOSDAQ","코스닥 기계·장비","2001-11-13"
"084370","유진테크","KOSDAQ","코스닥 기계·장비","2006-01-17"
"179900","유티아이","KOSDAQ","코스닥 전기·전자","2017-09-27"
"272290","이녹스첨단소재","KOSDAQ","코스닥 전기·전자","2017-07-10"
"039030","이오테크닉스","KOSDAQ","코스닥 기계·장비","2000-08-24"
"211050","인카금융서비스","KOSDAQ","코스닥 금융","2022-02-16"
"189300","인텔리안테크","KOSDAQ","코스닥 전기·전자","2016-10-18"
"033100","제룡전기","KOSDAQ","코스닥 전기·전자","1997-08-18"
"079370","제우스","KOSDAQ","코스닥 기계·장비","2006-02-01"
"204270","제이앤티씨","KOSDAQ","코스닥 전기·전자","2020-03-04"
"080220","제주반도체","KOSDAQ","코스닥 전기·전자","2005-02-01"
"082270","젬백스","KOSDAQ","코스닥 기계·장비","2005-06-24"
"036930","주성엔지니어링","KOSDAQ","코스닥 기계·장비","1999-12-24"
"358570","지아이이노베이션","KOSDAQ","코스닥 일반서비스","2023-03-30"
"085660","차바이오텍","KOSDAQ","코스닥 제약","2005-12-27"
"278280","천보","KOSDAQ","코스닥 화학","2019-02-11"
"293490","카카오게임즈","KOSDAQ","코스닥 IT 서비스","2020-09-10"
"042000","카페24","KOSDAQ","코스닥 IT 서비스","2018-02-08"
"078340","컴투스","KOSDAQ","코스닥 IT 서비스","2007-07-06"
"214370","케어젠","KOSDAQ","코스닥 제약","2015-11-17"
"032500","케이엠더블유","KOSDAQ","코스닥 전기·전자","2000-03-21"
"052400","코나아이","KOSDAQ","코스닥 IT 서비스","2001-10-18"
"183300","코미코","KOSDAQ","코스닥 기계·장비","2017-03-23"
"241710","코스메카코리아","KOSDAQ","코스닥 화학","2016-10-28"
"200130","콜마비앤에이치","KOSDAQ","코스닥 제약","2014-07-23"
"060280","큐렉소","KOSDAQ","코스닥 유통","2002-07-03"
"214150","클래시스","KOSDAQ","코스닥 의료·정밀기기","2015-04-03"
"466100","클로봇","KOSDAQ","코스닥 IT 서비스","2024-10-28"
"323280","태성","KOSDAQ","코스닥 기계·장비","2019-06-24"
"095610","테스","KOSDAQ","코스닥 기계·장비","2008-05-20"
"089030","테크윙","KOSDAQ","코스닥 기계·장비","2011-11-10"
"064760","티씨케이","KOSDAQ","코스닥 비금속","2003-08-18"
"131290","티에스이","KOSDAQ","코스닥 의료·정밀기기","2011-01-05"
"214450","파마리서치","KOSDAQ","코스닥 제약","2015-07-24"
"140860","파크시스템스","KOSDAQ","코스닥 의료·정밀기기","2015-12-17"
"263750","펄어비스","KOSDAQ","코스닥 IT 서비스","2017-09-14"
"251970","펌텍코리아","KOSDAQ","코스닥 화학","2019-07-04"
"087010","펩트론","KOSDAQ","코스닥 제약","2015-07-22"
"009520","포스코엠텍","KOSDAQ","코스닥 금속","1997-11-10"
"319660","피에스케이","KOSDAQ","코스닥 기계·장비","2019-05-10"
"031980","피에스케이홀딩스","KOSDAQ","코스닥 기계·장비","1997-01-07"
"137400","피엔티","KOSDAQ","코스닥 기계·장비","2012-07-06"
"161580","필옵틱스","KOSDAQ","코스닥 기계·장비","2017-06-01"
"067310","하나마이크론","KOSDAQ","코스닥 전기·전자","2005-10-11"
"166090","하나머티리얼즈","KOSDAQ","코스닥 전기·전자","2017-04-28"
"003380","하림지주","KOSDAQ","코스닥 금융","2017-06-30"
"160190","하이젠알앤엠","KOSDAQ","코스닥 전기·전자","2024-06-27"
"030520","한글과컴퓨터","KOSDAQ","코스닥 IT 서비스","1996-09-24"
"048410","현대바이오","KOSDAQ","코스닥 화학","2002-08-08"
"145020","휴젤","KOSDAQ","코스닥 제약","2015-12-24"
