ticker,trade_date,open_price,high_price,low_price,close_price,volume,turnover,shares_outstanding
004170,2020-01-02,289500,296500,289500,292500,48510,14219000000,9845181
004170,2020-01-03,296500,297000,290500,292500,40984,12003000000,9845181
004170,2020-01-06,288000,294000,288000,290000,24759,7189000000,9845181
004170,2020-01-07,293000,311500,291500,305000,99705,30389000000,9845181
004170,2020-01-08,305000,312000,299000,306500,73747,22541000000,9845181
004170,2020-01-09,307000,316000,306500,314500,86612,27167000000,9845181
004170,2020-01-10,313000,319000,311500,312500,47178,14773000000,9845181
004170,2020-01-13,314000,328500,313500,324000,76158,24678000000,9845181
004170,2020-01-14,328000,333500,315500,321500,71220,22922000000,9845181
004170,2020-01-15,320500,324500,318500,323500,43092,13856000000,9845181
004170,2020-01-16,324000,324000,319500,322000,27968,8980000000,9845181
004170,2020-01-17,323500,326500,318000,320500,40136,12920000000,9845181
004170,2020-01-20,326000,332000,306500,309000,147422,46685000000,9845181
004170,2020-01-21,309000,309500,299500,302500,107545,32649000000,9845181
004170,2020-01-22,297500,316500,297500,315500,89830,27839000000,9845181
004170,2020-01-23,311000,313000,305500,306500,55187,16991000000,9845181
004170,2020-01-28,280000,284000,268500,269500,225560,61771000000,9845181
004170,2020-01-29,271500,279500,270000,278500,115522,31863000000,9845181
004170,2020-01-30,278000,279500,263500,266000,123403,33313000000,9845181
004170,2020-01-31,266000,270000,264000,267000,80572,21531000000,9845181
004170,2020-02-03,263000,270500,251500,269000,128235,33850000000,9845181
004170,2020-02-04,268500,280000,263500,273000,91759,25079000000,9845181
004170,2020-02-05,275500,278000,269000,272500,46109,12579000000,9845181
004170,2020-02-06,278000,287500,277000,287000,99051,28112000000,9845181
004170,2020-02-07,287000,287500,280000,281500,50791,14351000000,9845181
004170,2020-02-10,280500,280500,275000,279500,39415,10940000000,9845181
004170,2020-02-11,280500,290000,280500,283500,50104,14255000000,9845181
004170,2020-02-12,282500,300000,282000,300000,94596,27719000000,9845181
004170,2020-02-13,297500,301500,292000,293000,105666,31171000000,9845181
004170,2020-02-14,293000,296000,290000,293000,45622,13374000000,9845181
004170,2020-02-17,293000,303000,290500,296500,62639,18573000000,9845181
004170,2020-02-18,294500,298500,288000,289000,42629,12432000000,9845181
004170,2020-02-19,292000,297500,280000,282500,63834,18208000000,9845181
004170,2020-02-20,284500,286000,268000,270000,153588,41838000000,9845181
004170,2020-02-21,269000,273500,261500,264000,87674,23308000000,9845181
004170,2020-02-24,251000,254500,243500,244500,185890,45891000000,9845181
004170,2020-02-25,244000,258500,243000,254500,125682,31755000000,9845181
004170,2020-02-26,250000,261500,249000,254000,82189,21023000000,9845181
004170,2020-02-27,251500,260500,246500,249000,85871,21620000000,9845181
004170,2020-02-28,245000,245000,231500,236000,172784,40991000000,9845181
004170,2020-03-02,235000,249000,234500,243000,91494,22204000000,9845181
004170,2020-03-03,250000,253000,240500,241500,69902,17198000000,9845181
004170,2020-03-04,240500,260000,240500,253000,93059,23419000000,9845181
004170,2020-03-05,260000,264500,252000,264500,104952,27286000000,9845181
004170,2020-03-06,259500,266000,254500,258000,73181,18846000000,9845181
004170,2020-03-09,252000,257000,246000,253500,64201,16212000000,9845181
004170,2020-03-10,245000,262500,245000,258000,79779,20519000000,9845181
004170,2020-03-11,257000,263000,249000,251000,63614,16263000000,9845181
004170,2020-03-12,252000,252000,232500,241500,146648,35183000000,9845181
004170,2020-03-13,218000,234000,211500,227000,188739,41551000000,9845181
004170,2020-03-16,229500,235000,218500,218500,82731,18733000000,9845181
004170,2020-03-17,210000,238500,206500,237500,112027,25574000000,9845181
004170,2020-03-18,235000,250000,225500,226000,105391,25234000000,9845181
004170,2020-03-19,234500,239500,199000,204000,138230,29416000000,9845181
004170,2020-03-20,210500,225000,200000,224000,106243,22835000000,9845181
004170,2020-03-23,207500,215000,201000,206500,80435,16647000000,9845181
004170,2020-03-24,213000,223000,208500,220500,98816,21355000000,9845181
004170,2020-03-25,227000,238000,222500,238000,147830,34064000000,9845181
004170,2020-03-26,238000,245500,230500,232500,88514,21033000000,9845181
004170,2020-03-27,243500,243500,221000,224500,150570,34004000000,9845181
004170,2020-03-30,215500,218000,207500,215000,159615,33955000000,9845181
004170,2020-03-31,220000,220000,210500,217500,133878,28808000000,9845181
004170,2020-04-01,215500,218500,210000,210000,88350,18919000000,9845181
004170,2020-04-02,210500,212500,203500,208500,128142,26471000000,9845181
004170,2020-04-03,208000,210500,205500,208500,89739,18641000000,9845181
004170,2020-04-06,210000,223500,209000,221000,141057,30713000000,9845181
004170,2020-04-07,229000,232500,220500,228500,137833,31187000000,9845181
004170,2020-04-08,226000,239500,222000,231000,136604,31677000000,9845181
004170,2020-04-09,236000,238000,232000,237000,114853,27115000000,9845181
004170,2020-04-10,239000,242000,235000,241000,76789,18360000000,9845181
004170,2020-04-13,241000,241500,232000,232500,73130,17249000000,9845181
004170,2020-04-14,233500,236500,230000,233000,59623,13965000000,9845181
004170,2020-04-16,232500,236500,229000,233500,61101,14251000000,9845181
004170,2020-04-17,245000,260000,241000,252500,203883,51347000000,9845181
004170,2020-04-20,250000,267000,249000,255000,162725,42330000000,9845181
004170,2020-04-21,256500,262000,250000,259500,144633,37029000000,9845181
004170,2020-04-22,255500,257000,246000,252000,167721,41778000000,9845181
004170,2020-04-23,252000,252500,248000,250500,74255,18550000000,9845181
004170,2020-04-24,248000,250000,243500,243500,55573,13678000000,9845181
004170,2020-04-27,244000,258500,244000,255500,125254,31726000000,9845181
004170,2020-04-28,257000,265000,255000,263500,121881,31856000000,9845181
004170,2020-04-29,263000,276000,258500,265000,153789,41284000000,9845181
004170,2020-05-04,257500,269000,256000,264500,96779,25607000000,9845181
004170,2020-05-06,269000,274000,264000,264500,99348,26551000000,9845181
004170,2020-05-07,265500,267000,258500,259500,74945,19544000000,9845181
004170,2020-05-08,261000,263000,252000,253500,148371,37847000000,9845181
004170,2020-05-11,250000,251500,243000,243500,173515,42597000000,9845181
004170,2020-05-12,245000,248500,237000,244000,97494,23700000000,9845181
004170,2020-05-13,241000,242000,238000,239000,94168,22511000000,9845181
004170,2020-05-14,239000,243500,237500,238000,71463,17075000000,9845181
004170,2020-05-15,240500,241000,232500,233500,67832,15922000000,9845181
004170,2020-05-18,234500,243000,231500,242500,96006,22980000000,9845181
004170,2020-05-19,253000,259000,249500,255500,173503,44134000000,9845181
004170,2020-05-20,252000,253500,246500,249500,82703,20614000000,9845181
004170,2020-05-21,250500,251000,246000,248000,66290,16412000000,9845181
004170,2020-05-22,249500,249500,242000,242500,53951,13147000000,9845181
004170,2020-05-25,242500,244000,236500,238500,69815,16666000000,9845181
004170,2020-05-26,238500,242500,237500,240500,72444,17422000000,9845181
004170,2020-05-27,243000,249000,241500,248500,113559,27992000000,9845181
004170,2020-05-28,252000,252000,240500,242500,87273,21307000000,9845181
004170,2020-05-29,240000,245000,240000,245000,54574,13263000000,9845181
004170,2020-06-01,244000,246000,242500,245500,61888,15105000000,9845181
004170,2020-06-02,245500,250500,245500,250500,101881,25288000000,9845181
004170,2020-06-03,252000,256500,249500,254000,141866,35832000000,9845181
004170,2020-06-04,258500,259500,250000,251000,92212,23475000000,9845181
004170,2020-06-05,251500,254500,250500,252500,54301,13746000000,9845181
004170,2020-06-08,256500,257000,248000,251000,70073,17532000000,9845181
004170,2020-06-09,250500,251000,245500,247500,72660,17974000000,9845181
004170,2020-06-10,247000,250000,246500,248500,49024,12176000000,9845181
004170,2020-06-11,247000,250000,241000,242500,104301,25375000000,9845181
004170,2020-06-12,230000,238000,230000,231000,126017,29199000000,9845181
004170,2020-06-15,230000,230500,215500,216000,137203,30445000000,9845181
004170,2020-06-16,219500,224000,219000,222000,91361,20164000000,9845181
004170,2020-06-17,221000,221000,215000,216500,111929,24275000000,9845181
004170,2020-06-18,217000,223000,216000,217500,81096,17709000000,9845181
004170,2020-06-19,220500,224000,218500,220500,90286,19873000000,9845181
004170,2020-06-22,219000,220000,215500,216500,71303,15492000000,9845181
004170,2020-06-23,217500,219000,212000,212000,93604,20068000000,9845181
004170,2020-06-24,212500,213500,209500,209500,96192,20270000000,9845181
004170,2020-06-25,207500,207500,201500,206000,119207,24247000000,9845181
