ticker,trade_date,trade_time,open_price,high_price,low_price,close_price,volume,turnover,bid_size_total,ask_size_total
006280,2021-03-10,09:05:00,338500,342500,338000,339500,7997,2720460000,5406,2591
006280,2021-03-10,09:10:00,339500,345500,337500,345500,7150,2434530000,5320,1830
006280,2021-03-10,09:15:00,345500,345500,341000,341000,6969,2389370000,3780,3189
006280,2021-03-10,09:20:00,341000,342000,339000,339500,2163,736560000,450,1713
006280,2021-03-10,09:25:00,339500,340000,338000,338000,3021,1023530000,920,2101
006280,2021-03-10,09:30:00,338000,339000,335500,337000,3171,1070370000,466,2705
006280,2021-03-10,09:35:00,337000,338000,336000,336500,1516,510930000,350,1166
006280,2021-03-10,09:40:00,336500,337000,336000,336000,792,266490000,99,693
006280,2021-03-10,09:45:00,336000,337500,336000,337000,1435,483390000,538,897
006280,2021-03-10,09:50:00,337000,338000,337000,337500,761,256730000,421,340
006280,2021-03-10,09:55:00,337500,338500,337500,338000,996,336600000,484,512
006280,2021-03-10,10:00:00,337500,338000,336500,337000,1595,537830000,86,1509
006280,2021-03-10,10:05:00,337000,338000,337000,337500,597,201440000,207,390
006280,2021-03-10,10:10:00,338000,339000,337000,337500,1043,352570000,409,634
006280,2021-03-10,10:15:00,337000,338000,337000,337000,266,89700000,66,200
006280,2021-03-10,10:20:00,337000,337500,336000,336000,1796,604540000,193,1603
006280,2021-03-10,10:25:00,336000,336500,335000,335500,1631,547550000,437,1194
006280,2021-03-10,10:30:00,335500,336000,334000,334500,2523,844860000,193,2330
006280,2021-03-10,10:35:00,334500,335000,333000,333000,1597,533000000,164,1433
006280,2021-03-10,10:40:00,333000,334000,333000,333000,1005,334960000,260,745
006280,2021-03-10,10:45:00,333500,335000,333000,333500,2392,799010000,514,1878
006280,2021-03-10,10:50:00,333500,334000,330000,330000,4817,1598220000,835,3982
006280,2021-03-10,10:55:00,330000,332000,329500,331500,3333,1100450000,1335,1998
006280,2021-03-10,11:00:00,331500,332000,329500,330000,1849,611660000,219,1630
006280,2021-03-10,11:05:00,330000,330500,329500,330000,1856,611890000,575,1281
006280,2021-03-10,11:10:00,330000,330500,327000,327000,3336,1096970000,123,3213
006280,2021-03-10,11:15:00,327500,329500,327000,328500,1814,595430000,903,911
006280,2021-03-10,11:20:00,328500,329000,327500,328000,1094,359050000,198,896
006280,2021-03-10,11:25:00,328000,330000,328000,328500,1297,426310000,956,341
006280,2021-03-10,11:30:00,328000,330500,328000,329000,1064,350290000,659,405
006280,2021-03-10,11:35:00,329500,329500,328500,329500,1004,330100000,479,525
006280,2021-03-10,11:40:00,330000,330000,329000,329000,713,234840000,176,537
006280,2021-03-10,11:45:00,329000,329500,328500,328500,745,245170000,210,535
006280,2021-03-10,11:50:00,328500,329000,328000,329000,937,307730000,270,667
006280,2021-03-10,11:55:00,329000,330000,329000,329500,2538,835670000,1417,1121
006280,2021-03-10,12:00:00,329500,331500,329500,330500,798,263890000,348,450
006280,2021-03-10,12:05:00,330500,331500,330500,331000,605,200280000,355,250
006280,2021-03-10,12:10:00,331000,331000,330000,330000,439,145090000,73,366
006280,2021-03-10,12:15:00,330000,331000,329500,330500,752,248250000,306,446
006280,2021-03-10,12:20:00,331000,331000,329000,329500,738,243620000,140,598
006280,2021-03-10,12:25:00,329000,330000,328500,328500,721,237290000,123,598
006280,2021-03-10,12:30:00,328500,329500,328000,329500,1055,346700000,445,610
006280,2021-03-10,12:35:00,329000,329500,328500,329000,362,119070000,104,258
006280,2021-03-10,12:40:00,329000,330000,329000,329500,405,133390000,223,182
006280,2021-03-10,12:45:00,329500,330000,328500,328500,509,167410000,75,434
006280,2021-03-10,12:50:00,328000,329000,328000,328000,673,220820000,72,601
006280,2021-03-10,12:55:00,328000,329000,328000,328000,713,233980000,119,594
