ticker,account_date,report_type,revenue,operating_profit,net_profit,equity,debt,pub_date
071320,2019-03,1Q,957281544648,80004273554,56484800762,1616082963312,4236296538366,2019-07-11
071320,2019-06,2Q,367718023883,-43038795294,-43038795294,1572320621920,4177261528424,2019-08-13
071320,2019-09,3Q,363135503818,-43556857471,-43556857471,1528337410280,4050942607097,2019-11-13
071320,2019-12,4Q,2367906314930,42213059502,-25579850538,1529393587950,4363220622032,2020-03-30
071320,2020-03,1Q,854955601825,123009406462,86805555977,1616199143927,4298105812609,2020-05-15
071320,2020-06,2Q,345999980739,-53512631151,-53512631151,1562467127124,4162391936376,2020-08-14
071320,2020-09,3Q,289475415503,-22576541269,-22576541269,1789651634411,4101362836119,2020-11-13
071320,2020-12,4Q,2098906299673,132852566267,27936391300,1803734802363,4269404295023,2021-03-22
071320,2021-03,1Q,848052527702,134258446519,92248549359,1886554535708,4346095312103,2021-05-17
071320,2021-06,2Q,374078333037,-31674671048,-31674671048,1854982940054,4153243045458,2021-08-17
071320,2021-09,3Q,407001196860,-37481179036,-33336135110,1821771807845,4201344040365,2021-11-15
071320,2021-12,4Q,2536798009719,39686157248,21459011218,1823178843481,4694183620876,2022-03-22
071320,2022-03,1Q,1381522723574,-119149827132,-119149827132,1698292395560,4938245689909,2022-05-16
071320,2022-06,2Q,544766791355,-110843358255,-106373664098,1599100122529,4729359668673,2022-08-16
071320,2022-09,3Q,710814566143,-57435398069,-7252144774,1592657633234,4883970044557,2022-11-14
071320,2022-12,4Q,4173027136426,-403893693760,-183875394305,1667003101357,5811126778301,2023-03-22
071320,2023-03,1Q,1659465915746,-87721411330,-82274889436,1579071379130,5682635555134,2023-05-15
071320,2023-06,2Q,648424352356,-52174531986,-52171037490,1529567519085,5489413301985,2023-08-14
071320,2023-09,3Q,607336687738,-44372289579,-46184398763,1733192713442,5386822671293,2023-11-14
071320,2023-12,4Q,3953697605651,314719522031,199404301813,2093243566865,5875165562413,2024-03-21
071320,2024-03,1Q,1374588219780,208551635773,142456262809,2234164627103,5882775402869,2024-05-16
071320,2024-06,2Q,532347390574,-23353438855,-31591393002,2196873810800,5576535973586,2024-08-14
071320,2024-09,3Q,585081209865,28865656942,32548835550,2221089493062,5591360643273,2024-11-14
071320,2024-12,4Q,3570309804422,327942028598,210167111658,2268249159307,6093988617579,2025-03-27
071320,2025-03,1Q,1576835358315,323778390619,233485695623,2450307458912,6089333020206,2025-05-13
071320,2025-06,2Q,623079458188,-9557147575,-21568910178,2423753994183,5732974471629,2025-08-12
071320,2025-09,3Q,758200000000,89373000000,49021000000,2219901000000,5680242000000,2025-11-12
