ticker,account_date,report_type,fs_type,revenue,operating_profit,net_profit,equity,debt,pub_date
450080,2022-12,4Q,별도,665248278975,38988203638,15582712507,314300581291,320612563898,2023-03-21
450080,2023-03,1Q,별도,234972050865,8389192457,6171195422,319900421065,442783137434,2023-07-31
450080,2023-06,2Q,별도,289141062708,7125104312,3665988886,322046537456,415431488090,2023-08-14
450080,2023-09,3Q,별도,240009719501,-6877991085,-10188646023,311776478852,378743771638,2023-11-14
450080,2023-12,4Q,별도,952523315840,8772772409,5045159766,799097396195,305137809602,2024-04-17
450080,2024-03,1Q,별도,79185446212,-12971848788,-12259139244,779432629965,294494845513,2024-05-14
450080,2024-06,2Q,별도,66691644013,-3666619580,-3415698889,767581514106,346450928996,2025-04-02
450080,2024-09,3Q,별도,65874877605,-38536588169,-38717340519,729140499120,390787165174,2025-04-02
450080,2024-12,4Q,별도,299846484651,-64719926202,-63251182460,737605448212,552631250526,2025-04-02
450080,2025-03,1Q,별도,136080858579,-14783746635,-12683975981,729993112689,659415363683,2025-05-15
450080,2025-06,2Q,별도,78068573064,-28789921739,-44588511379,1089928988298,588427819315,2025-08-14
450080,2025-09,3Q,별도,63153785110,-25140832974,161587947814,1252503478277,556266289669,2025-11-14
