ticker,trade_date,individual_net_amt,foreign_net_amt,inst_net_amt,market_cap
033780,2020-01-02,4263880000,2005955000,-6269835000,12699510000000
033780,2020-01-03,8884625000,861915000,-9746540000,12699510000000
033780,2020-01-06,2239910100,2880652500,-5120562600,12726968000000
033780,2020-01-07,3066024000,-979941000,-2086083000,12768156000000
033780,2020-01-08,3338674200,1618801200,-4957475400,12603405000000
033780,2020-01-09,-633141000,-595134000,1228275000,12726968000000
033780,2020-01-10,-10676762100,13454313100,-2777551000,13001552000000
033780,2020-01-13,933189700,1229604700,-2162794400,12919177000000
033780,2020-01-14,-2307802500,6003297700,-3695495200,12919177000000
033780,2020-01-15,1785923900,1300932500,-3086856400,12919177000000
033780,2020-01-16,-6734340200,3836878400,2897461800,12946635000000
033780,2020-01-17,728688000,3394528000,-4123216000,12905448000000
033780,2020-01-20,3856338000,-592131000,-3264207000,12768156000000
033780,2020-01-21,-6821547400,6018632100,802915300,12864260000000
033780,2020-01-22,-5412794400,12029191200,-6616396800,12850531000000
033780,2020-01-23,3714848500,9161317000,-12876165500,12836802000000
033780,2020-01-28,-7409027200,22622436000,-15213408800,12795614000000
033780,2020-01-29,-53095946700,24834033600,28261913100,13056469000000
033780,2020-01-30,719086200,-2715869700,1996783500,12891718000000
033780,2020-01-31,-4801789200,5837142900,-1035353700,13056469000000
033780,2020-02-03,8741866400,-9973905800,1232039400,12823072000000
033780,2020-02-04,32445452800,-18405004800,-14040448000,12575947000000
033780,2020-02-05,-1368344700,3930387300,-2562042600,12726968000000
033780,2020-02-06,1023850900,4474714300,-5498565200,12754426000000
033780,2020-02-07,-3473271600,7189132500,-3715860900,12864260000000
033780,2020-02-10,5718106800,-2184660900,-3533445900,12726968000000
033780,2020-02-11,-1094610000,1609365000,-514755000,12768156000000
033780,2020-02-12,1048399100,-1565755800,517356700,12781885000000
033780,2020-02-13,9325476800,5027758200,-14353235000,12658322000000
033780,2020-02-14,30960734400,-14511731200,-16449003200,12411196000000
033780,2020-02-17,4046613900,382510800,-4429124700,12397467000000
033780,2020-02-18,13438667700,4234516700,-17673184400,12260175000000
033780,2020-02-19,12786136000,-6286896000,-6499240000,12081696000000
033780,2020-02-20,5042595300,1004014200,-6046609500,11848299000000
033780,2020-02-21,3525849000,-1435288500,-2090560500,11738466000000
033780,2020-02-24,-5448200400,-1898148600,7346349000,11491340000000
033780,2020-02-25,1778931700,2297685400,-4076617100,11518798000000
033780,2020-02-26,1954595100,-5445626100,3491031000,11408965000000
033780,2020-02-27,-5770917600,-8576727600,14347645200,11834570000000
033780,2020-02-28,255963400,-8280356700,8024393300,11628632000000
033780,2020-03-02,139885200,-2534586600,2394701400,11724736000000
033780,2020-03-03,5766153300,211485900,-5977639200,11656090000000
033780,2020-03-04,19795616500,44069821000,-63865437500,11189298000000
033780,2020-03-05,9911055000,19091407500,-29002462500,11326590000000
033780,2020-03-06,-4412792900,11269456500,-6856663600,11271673000000
033780,2020-03-09,-5258538800,4711965800,546573000,11216756000000
033780,2020-03-10,-3796745900,-2770300300,6567046200,11299131000000
033780,2020-03-11,-136123200,8181366000,-8045242800,11285402000000
033780,2020-03-12,8432644500,5064229500,-13496874000,10914714000000
033780,2020-03-13,-14405059200,16756464900,-2351405700,10859797000000
033780,2020-03-16,-1656814900,6889187500,-5232372600,10887255000000
033780,2020-03-17,-6671897500,3990630000,2681267500,10640130000000
033780,2020-03-18,4179227000,2316264500,-6495491500,10365546000000
033780,2020-03-19,-3513873200,5335625600,-1821752400,9486877000000
033780,2020-03-20,11519778200,-3077635400,-8442142800,9322126000000
033780,2020-03-23,-111681600,4177756800,-4066075200,8731771000000
033780,2020-03-24,-3444846800,-2942038900,6386885700,9294668000000
033780,2020-03-25,6564272400,116729900,-6681002300,9898753000000
033780,2020-03-26,-425474600,-4215541400,4641016000,9912482000000
033780,2020-03-27,-16133720000,5992109500,10141610500,10228254000000
033780,2020-03-30,-5133302400,1246625600,3886676800,10077232000000
033780,2020-03-31,-1269377100,310229100,959148000,10255712000000
033780,2020-04-01,9935101000,-7589048000,-2346053000,9747732000000
033780,2020-04-02,6305344200,-12891824300,6586480100,9788919000000
033780,2020-04-03,-10712722300,2517463900,8195258400,10283170000000
033780,2020-04-06,8385200400,-21883801800,13498601400,10461650000000
033780,2020-04-07,5689299000,-11028710000,5339411000,10571484000000
033780,2020-04-08,3408273600,-6200546400,2792272800,10461650000000
033780,2020-04-09,6791899500,-9620946000,2829046500,10502838000000
033780,2020-04-10,3455970800,-12195993800,8740023000,10736234000000
033780,2020-04-13,2562249600,-6877531800,4315282200,10626400000000
033780,2020-04-14,4129157200,-9235715800,5106558600,10681317000000
033780,2020-04-16,12433214400,-16497640000,4064425600,10598942000000
033780,2020-04-17,-409422000,-3437382000,3846804000,10708776000000
033780,2020-04-20,10550230700,-8982337400,-1567893300,10695046000000
033780,2020-04-21,-2276820000,-1860690000,4137510000,10708776000000
033780,2020-04-22,-117394000,-1280590000,1397984000,10846068000000
033780,2020-04-23,-3670834200,-10226542600,13897376800,11010818000000
033780,2020-04-24,6148834800,-7742772600,1593937800,10832338000000
033780,2020-04-27,-4195915200,-9015975600,13211890800,11038276000000
033780,2020-04-28,9430030500,-10316863700,886833200,11024547000000
033780,2020-04-29,1056084200,-3429881200,2373797000,11134381000000
033780,2020-05-04,22109760500,-16841311500,-5268449000,10777422000000
033780,2020-05-06,4029158000,-9787389000,5758231000,10846068000000
033780,2020-05-07,6814855800,-8948845800,2133990000,10791151000000
033780,2020-05-08,7296277000,-4574752300,-2721524700,10804880000000
033780,2020-05-11,6671212800,-6434993600,-236219200,10763692000000
033780,2020-05-12,24712028800,-21657224800,-3054804000,10598942000000
033780,2020-05-13,-4213125800,-2388230200,6601356000,10804880000000
033780,2020-05-14,12379869900,-16417905300,4038035400,10585213000000
033780,2020-05-15,2186107700,-6057581900,3871474200,10695046000000
033780,2020-05-18,832906800,-6516724500,5683817700,10695046000000
033780,2020-05-19,5227411400,-12112638300,6885226900,10804880000000
033780,2020-05-20,5520669500,-6569900500,1049231000,10777422000000
033780,2020-05-21,6231172200,-1528770000,-4702402200,10791151000000
033780,2020-05-22,-47029990200,4220148000,42809842200,11285402000000
033780,2020-05-25,-20767184000,-12290142500,33057326500,11793382000000
033780,2020-05-26,472562000,-10263978400,9791416400,11711007000000
033780,2020-05-27,-1595440800,-3897589200,5493030000,11656090000000
033780,2020-05-28,7081849100,-15984173300,8902324200,11354048000000
033780,2020-05-29,-4402988100,-18890336700,23293324800,11518798000000
033780,2020-06-01,-1299055000,-4569175000,5868230000,11669820000000
033780,2020-06-02,-14650162800,-6109609600,20759772400,11999320000000
033780,2020-06-03,187704000,-11860904000,11673200000,12081696000000
033780,2020-06-04,-1739522200,-9907139600,11646661800,11999320000000
033780,2020-06-05,-2826306400,-4240872400,7067178800,12122883000000
033780,2020-06-08,1407296000,2221472000,-3628768000,12081696000000
033780,2020-06-09,3159291200,-9660870700,6501579500,11958133000000
033780,2020-06-10,19734139000,-25380226400,5646087400,11765924000000
033780,2020-06-11,10134617600,574096000,-10708713600,11642361000000
033780,2020-06-12,-2974233600,-764857600,3739091200,11422694000000
033780,2020-06-15,13770445000,-6710603900,-7059841100,10887255000000
033780,2020-06-16,-717215800,-6113391200,6830607000,11340319000000
033780,2020-06-17,-2301108000,6405820500,-4104712500,11299131000000
033780,2020-06-18,2350345600,-1105074200,-1245271400,11216756000000
033780,2020-06-19,10396755200,-6725586400,-3671168800,11065735000000
033780,2020-06-22,10526436000,-4983060000,-5543376000,10914714000000
033780,2020-06-23,7789695200,-3153024400,-4636670800,10818609000000
033780,2020-06-24,8074974000,-3359670000,-4715304000,10914714000000
033780,2020-06-25,8894077000,-828372600,-8065704400,10736234000000
033780,2020-06-26,9416985600,-1363235500,-8053750100,10722505000000
033780,2020-06-29,998289600,-1199843400,201553800,10667588000000
033780,2020-06-30,257278000,-6684536000,6427258000,10736234000000
033780,2020-07-01,4167722000,-5395697500,1227975500,10777422000000
033780,2020-07-02,-904178600,-3544154900,4448333500,10887255000000
033780,2020-07-03,2723574000,-3585653400,862079400,10955901000000
033780,2020-07-06,2170962900,-2341309700,170346800,10969630000000
033780,2020-07-07,12079267200,871516800,-12950784000,10873526000000
033780,2020-07-08,1486173000,1055442000,-2541615000,10914714000000
033780,2020-07-09,7511880600,-1239443400,-6272437200,10791151000000
033780,2020-07-10,5543561200,1604469400,-7148030600,10681317000000
033780,2020-07-13,-359213000,-2733242000,3092455000,10846068000000
033780,2020-07-14,-5842448500,5278626500,563822000,11052006000000
033780,2020-07-15,-2135241300,1609077300,526164000,11079464000000
033780,2020-07-16,-15864079500,-4229695800,20093775300,11491340000000
033780,2020-07-17,3062725600,-3076239200,13513600,11312860000000
033780,2020-07-20,-3131374200,-2151375900,5282750100,11408965000000
033780,2020-07-21,3283852300,-5003428500,1719576200,11299131000000
033780,2020-07-22,-1583566200,-4038875000,5622441200,11230485000000
033780,2020-07-23,6988472800,-2517808800,-4470664000,11093193000000
033780,2020-07-24,3974413200,-7139037600,3164624400,11038276000000
033780,2020-07-27,1714442600,-1444674400,-269768200,11065735000000
033780,2020-07-28,1030265600,2493083600,-3523349200,11148110000000
033780,2020-07-29,2527187600,-837415600,-1689772000,11148110000000
033780,2020-07-30,-221341600,-1152766100,1374107700,11271673000000
