ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
0126Z0,2025-11-24,-11181000000,-10540000000,-73318000000,7482000000,-131000000,-5001000000,3000000,642000000,131000000
0126Z0,2025-11-25,3219000000,9083000000,-17958000000,5428000000,-4000000,-4491000000,2000000,4586000000,1366000000
0126Z0,2025-11-26,740000000,5772000000,-6317000000,3622000000,-12000000,-393000000,72000000,3962000000,-126000000
0126Z0,2025-11-27,2527000000,3567000000,-13797000000,8434000000,-175000000,2123000000,-5000000,3951000000,416000000
0126Z0,2025-11-28,1556000000,-2035000000,-579000000,-5399000000,8000000,-620000000,-1000000,-1134000000,694000000
0126Z0,2025-12-01,-148000000,-4795000000,-2711000000,-6530000000,0,-904000000,5000000,897000000,-184000000
0126Z0,2025-12-02,1863000000,1330000000,-1316000000,1972000000,0,-546000000,3000000,2067000000,379000000
0126Z0,2025-12-03,520000000,16182000000,11383000000,23219000000,58000000,157000000,-65000000,2531000000,-617000000
0126Z0,2025-12-04,-1617000000,6281000000,1300000000,2179000000,0,-600000000,0,-428000000,1045000000
0126Z0,2025-12-05,834000000,-793000000,-2894000000,-4477000000,0,-1056000000,35000000,-3081000000,-106000000
0126Z0,2025-12-08,-5145000000,-3366000000,40000000,-5630000000,0,-699000000,-85000000,241000000,-413000000
0126Z0,2025-12-09,-317000000,1274000000,-2486000000,14443000000,-2000000,-245000000,0,9554000000,-886000000
0126Z0,2025-12-10,-464000000,-1109000000,935000000,803000000,3000000,-191000000,-44000000,-362000000,379000000
0126Z0,2025-12-11,-3474000000,11813000000,1235000000,7486000000,0,27000000,100000000,-2184000000,207000000
0126Z0,2025-12-12,2530000000,-212000000,-6704000000,-5394000000,0,-1287000000,-1000000,-2012000000,-728000000
0126Z0,2025-12-15,-2167000000,12279000000,-1699000000,3411000000,0,-182000000,-1000000,1642000000,609000000
0126Z0,2025-12-16,-621000000,1296000000,897000000,6071000000,0,-344000000,-66000000,4785000000,340000000
0126Z0,2025-12-17,1717000000,-7520000000,-2816000000,-17850000000,0,-23000000,-1000000,1999000000,54000000
0126Z0,2025-12-18,-1196000000,-1145000000,3163000000,-3219000000,0,-40000000,1000000,5339000000,271000000
0126Z0,2025-12-19,-331000000,-980000000,-1901000000,-6522000000,0,98000000,-19000000,-3747000000,-106000000
0126Z0,2025-12-22,1080000000,-2544000000,-9713000000,-10104000000,0,-1404000000,0,-4765000000,-202000000
0126Z0,2025-12-23,-854000000,-4728000000,1349000000,1821000000,0,-406000000,0,-1535000000,-148000000
0126Z0,2025-12-24,326000000,-3930000000,-2833000000,-5073000000,0,-556000000,0,-491000000,-2000000
0126Z0,2025-12-26,316000000,-1235000000,-2324000000,2374000000,0,40000000,158000000,14000000,515000000
0126Z0,2025-12-29,-1503000000,1756000000,-360000000,15942000000,0,189000000,-15000000,-683000000,-65000000
0126Z0,2025-12-30,-2982000000,929000000,298000000,1713000000,0,123000000,-85000000,3531000000,-172000000
