ticker,trade_date,fin_inv_net_amt,trust_net_amt,pension_net_amt,private_equity_net_amt,bank_net_amt,insurance_net_amt,etc_finance_net_amt,etc_corp_net_amt,etc_foreign_net_amt
071320,2020-01-02,-23000000,-66000000,0,1000000,0,-6000000,2000000,0,0
071320,2020-01-03,-41000000,14000000,-1000000,0,0,4000000,2000000,0,0
071320,2020-01-06,4000000,-12000000,-40000000,4000000,-8000000,0,0,3000000,0
071320,2020-01-07,-2000000,-7000000,-75000000,0,0,-4000000,0,0,0
071320,2020-01-08,-2000000,-10000000,-40000000,0,5000000,-1000000,0,-8000000,0
071320,2020-01-09,-15000000,-5000000,-48000000,0,0,-3000000,0,0,0
071320,2020-01-10,1000000,-16000000,0,0,-12000000,-1000000,0,2000000,0
071320,2020-01-13,-2000000,-5000000,-17000000,0,0,1000000,0,0,0
071320,2020-01-14,-5000000,-29000000,3000000,0,0,-3000000,0,-13000000,0
071320,2020-01-15,0,1000000,0,0,0,1000000,0,0,0
071320,2020-01-16,1000000,0,0,0,0,0,0,0,0
071320,2020-01-17,-8000000,-39000000,0,-4000000,0,-4000000,0,-6000000,0
071320,2020-01-20,0,-35000000,-10000000,0,0,-1000000,0,0,0
071320,2020-01-21,0,-14000000,-24000000,0,0,0,0,0,0
071320,2020-01-22,5000000,-10000000,-23000000,0,0,0,0,0,0
071320,2020-01-23,-6000000,-11000000,-2000000,0,0,0,0,0,0
071320,2020-01-28,3000000,-2000000,0,0,5000000,0,0,1000000,0
071320,2020-01-29,-20000000,-9000000,0,0,0,-2000000,0,-4000000,0
071320,2020-01-30,3000000,3000000,0,0,0,2000000,0,0,0
071320,2020-01-31,0,-21000000,0,0,5000000,11000000,0,-28000000,0
071320,2020-02-03,4000000,-41000000,0,0,0,0,0,0,0
071320,2020-02-04,-8000000,-59000000,-202000000,0,-51000000,-2000000,0,0,0
071320,2020-02-05,-1000000,0,-199000000,-20000000,-182000000,-1000000,0,113000000,0
071320,2020-02-06,-2000000,-8000000,0,0,-441000000,-2000000,0,129000000,0
071320,2020-02-07,0,0,0,0,-85000000,0,0,142000000,0
071320,2020-02-10,0,0,0,0,0,-1000000,0,123000000,0
071320,2020-02-11,-1000000,-9000000,0,1000000,0,-1000000,0,136000000,0
071320,2020-02-12,-21000000,0,22000000,0,0,-1000000,0,142000000,0
071320,2020-02-13,2000000,-14000000,55000000,0,0,-1000000,0,134000000,0
071320,2020-02-14,-3000000,-23000000,55000000,0,0,0,0,4000000,0
071320,2020-02-17,1000000,0,0,0,0,0,0,4000000,0
071320,2020-02-18,2000000,-19000000,0,0,0,0,0,0,0
071320,2020-02-19,1000000,-4000000,0,0,0,-3000000,0,0,0
071320,2020-02-20,0,0,-46000000,0,0,0,0,0,0
