ticker,trade_date,short_vol,short_amt,lending_balance_amt
0126Z0,2025-11-24,16649,7347420000,88651000000
0126Z0,2025-11-25,6434,2334340000,75362000000
0126Z0,2025-11-26,16452,6075180000,102269000000
0126Z0,2025-11-27,8708,3742280000,117218000000
0126Z0,2025-11-28,13791,6086130000,125659000000
0126Z0,2025-12-01,25980,10548360000,110061000000
0126Z0,2025-12-02,17114,7157080000,124785000000
0126Z0,2025-12-03,47749,22856960000,155374000000
0126Z0,2025-12-04,5796,3218330000,178010000000
0126Z0,2025-12-05,12982,7329630000,169677000000
0126Z0,2025-12-08,21282,11036410000,164448000000
0126Z0,2025-12-09,8369,4690820000,188042000000
0126Z0,2025-12-10,12415,6999990000,189882000000
0126Z0,2025-12-11,10085,5797810000,204530000000
0126Z0,2025-12-12,10556,6697860000,256587000000
0126Z0,2025-12-15,19575,13205800000,274994000000
0126Z0,2025-12-16,15117,11003260000,275338000000
0126Z0,2025-12-17,42034,28690240000,216361000000
0126Z0,2025-12-18,11583,7993870000,236732000000
0126Z0,2025-12-19,10200,6921440000,275063000000
0126Z0,2025-12-22,3546,2364800000,278795000000
0126Z0,2025-12-23,4234,2779320000,280530000000
0126Z0,2025-12-24,7132,4615560000,272399000000
0126Z0,2025-12-26,2098,1423340000,266851000000
0126Z0,2025-12-29,7495,5331190000,290110000000
0126Z0,2025-12-30,13458,10048080000,271193000000
