"ticker","ticker_name","market_type","sector","listing_date"
"282330","BGF리테일","KOSPI","코스피 유통","2017-12-08"
"138930","BNK금융지주","KOSPI","코스피 금융","2011-03-30"
"001040","CJ","KOSPI","코스피 금융","1973-06-29"
"000120","CJ대한통운","KOSPI","코스피 운송·창고","1956-07-02"
"097950","CJ제일제당","KOSPI","코스피 음식료·담배","2007-09-28"
"005830","DB손해보험","KOSPI","코스피 보험","1973-06-28"
"000210","DL","KOSPI","코스피 화학","1976-02-02"
"375500","DL이앤씨","KOSPI","코스피 건설","2021-01-25"
"007340","DN오토모티브","KOSPI","코스피 전기·전자","1988-09-24"
"383220","F&F","KOSPI","코스피 섬유·의류","2021-05-21"
"114090","GKL","KOSPI","코스피 오락·문화","2009-11-19"
"078930","GS","KOSPI","코스피 금융","2004-08-05"
"006360","GS건설","KOSPI","코스피 건설","1981-08-03"
"007070","GS리테일","KOSPI","코스피 유통","2011-12-23"
"009540","HD한국조선해양","KOSPI","코스피 금융","1999-08-24"
"267250","HD현대","KOSPI","코스피 금융","2017-05-10"
"443060","HD현대마린솔루션","KOSPI","코스피 일반서비스","2024-05-08"
"071970","HD현대마린엔진","KOSPI","코스피 기계·장비","2009-05-15"
"267260","HD현대일렉트릭","KOSPI","코스피 전기·전자","2017-05-10"
"329180","HD현대중공업","KOSPI","코스피 운송장비·부품","2021-09-17"
"204320","HL만도","KOSPI","코스피 운송장비·부품","2014-10-06"
"011200","HMM","KOSPI","코스피 운송·창고","1995-10-05"
"298050","HS효성첨단소재","KOSPI","코스피 화학","2018-07-13"
"175330","JB금융지주","KOSPI","코스피 금융","2013-07-18"
"105560","KB금융","KOSPI","코스피 금융","2008-10-10"
"002380","KCC","KOSPI","코스피 화학","1973-06-25"
"030200","KT","KOSPI","코스피 통신","1998-12-23"
"033780","KT&G","KOSPI","코스피 음식료·담배","1999-10-08"
"003550","LG","KOSPI","코스피 금융","1970-02-13"
"034220","LG디스플레이","KOSPI","코스피 전기·전자","2004-07-23"
"051900","LG생활건강","KOSPI","코스피 화학","2001-04-25"
"064400","LG씨엔에스","KOSPI","코스피 IT 서비스","2025-02-05"
"373220","LG에너지솔루션","KOSPI","코스피 전기·전자","2022-01-27"
"032640","LG유플러스","KOSPI","코스피 통신","2008-04-21"
"011070","LG이노텍","KOSPI","코스피 전기·전자","2008-07-24"
"066570","LG전자","KOSPI","코스피 전기·전자","2002-04-22"
"051910","LG화학","KOSPI","코스피 화학","2001-04-25"
"079550","LIG넥스원","KOSPI","코스피 금속","2015-10-02"
"006260","LS","KOSPI","코스피 금융","1977-06-30"
"010120","LS ELECTRIC","KOSPI","코스피 전기·전자","1994-07-11"
"035420","NAVER","KOSPI","코스피 IT 서비스","2008-11-28"
"005940","NH투자증권","KOSPI","코스피 증권","1975-09-30"
"010060","OCI홀딩스","KOSPI","코스피 금융","1985-07-09"
"005490","POSCO홀딩스","KOSPI","코스피 금속","1988-06-10"
"010950","S-Oil","KOSPI","코스피 화학","1987-05-27"
"034730","SK","KOSPI","코스피 금융","2009-11-11"
"011790","SKC","KOSPI","코스피 화학","1997-07-18"
"302440","SK바이오사이언스","KOSPI","코스피 제약","2021-03-18"
"326030","SK바이오팜","KOSPI","코스피 일반서비스","2020-07-02"
"402340","SK스퀘어","KOSPI","코스피 금융","2021-11-29"
"361610","SK아이이테크놀로지","KOSPI","코스피 전기·전자","2021-05-11"
"096770","SK이노베이션","KOSPI","코스피 화학","2007-07-25"
"285130","SK케미칼","KOSPI","코스피 화학","2018-01-05"
"017670","SK텔레콤","KOSPI","코스피 통신","1989-11-07"
"000660","SK하이닉스","KOSPI","코스피 전기·전자","1996-12-26"
"069260","TKG휴켐스","KOSPI","코스피 화학","2002-10-07"
"139130","iM금융지주","KOSPI","코스피 금융","2011-06-07"
"035250","강원랜드","KOSPI","코스피 오락·문화","2003-09-04"
"010130","고려아연","KOSPI","코스피 금속","1990-07-28"
"011780","금호석유화학","KOSPI","코스피 화학","1988-01-22"
"073240","금호타이어","KOSPI","코스피 화학","2005-02-17"
"000270","기아","KOSPI","코스피 운송장비·부품","1973-07-21"
"024110","기업은행","KOSPI","코스피 금융","2003-12-24"
"251270","넷마블","KOSPI","코스피 IT 서비스","2017-05-12"
"006280","녹십자","KOSPI","코스피 제약","1989-08-01"
"005250","녹십자홀딩스","KOSPI","코스피 일반서비스","1978-08-28"
"004370","농심","KOSPI","코스피 음식료·담배","1976-06-30"
"001680","대상","KOSPI","코스피 음식료·담배","1970-04-01"
"047040","대우건설","KOSPI","코스피 건설","2001-03-23"
"003090","대웅","KOSPI","코스피 제약","1973-06-26"
"069620","대웅제약","KOSPI","코스피 제약","2002-11-01"
"006650","대한유화","KOSPI","코스피 화학","1999-08-11"
"001440","대한전선","KOSPI","코스피 전기·전자","1968-12-27"
"003490","대한항공","KOSPI","코스피 운송·창고","1966-03-18"
"192080","더블유게임즈","KOSPI","코스피 IT 서비스","2019-03-12"
"026960","동서","KOSPI","코스피 유통","2016-07-15"
"006040","동원산업","KOSPI","코스피 금융","1989-03-07"
"014820","동원시스템즈","KOSPI","코스피 화학","1994-03-29"
"000150","두산","KOSPI","코스피 금융","1973-06-29"
"454910","두산로보틱스","KOSPI","코스피 기계·장비","2023-10-05"
