trade_date,kospi_close,kosdaq_close,vkospi,program_net_amt,vix,us_10y_yield,usd_krw,snp500_close,nasdaq_close,phlx_semi_close
2020-01-02,2175.169921875,674.02001953125,15.399999618530272,-253698000000,13.78,1.92,1155.46,3230.78,8972.6,1849.62
2020-01-03,2176.4599609375,669.9299926757812,15.880000114440918,221584000000,12.47,1.88,1157.95,3257.85,9092.19,1887.91
2020-01-06,2155.070068359375,655.3099975585938,15.880000114440918,131739000000,14.02,1.8,1165.15,3234.85,9020.77,1853.98
2020-01-07,2175.5400390625,663.4400024414062,15.079999923706056,250435000000,13.85,1.81,1167.49,3246.28,9071.47,1834.68
2020-01-08,2151.31005859375,640.9400024414062,15.970000267028809,92443000000,13.79,1.83,1166.21,3237.18,9068.58,1867.28
2020-01-09,2186.449951171875,666.0900268554688,13.579999923706056,213104000000,13.45,1.87,1170.61,3253.05,9129.24,1867.59
2020-01-10,2206.389892578125,673.030029296875,12.8100004196167,273648000000,12.54,1.85,1158.63,3274.7,9203.43,1878.73
2020-01-13,2229.260009765625,679.219970703125,13.260000228881836,111500000000,12.56,1.83,1161.18,3265.35,9178.86,1866.35
2020-01-14,2238.8798828125,678.7100219726562,13.40999984741211,103739000000,12.32,1.85,1156.25,3288.13,9273.93,1890.79
2020-01-15,2230.97998046875,679.1599731445312,13.369999885559082,75859000000,12.39,1.82,1156.28,3283.15,9251.33,1894.64
2020-01-16,2248.050048828125,686.52001953125,13.579999923706056,17015000000,12.42,1.79,1156.84,3289.29,9258.7,1872.16
2020-01-17,2250.570068359375,688.4099731445312,13.600000381469728,46096000000,12.32,1.81,1160.86,3316.81,9357.13,1903.93
2020-01-20,2262.639892578125,683.469970703125,13.640000343322754,147088000000,12.1,1.84,1159.08,3329.62,9388.94,1916.62
2020-01-21,2239.68994140625,676.52001953125,14.40999984741211,5431000000,12.1,1.84,1159.08,3329.62,9388.94,1916.62
2020-01-22,2267.25,688.25,14.289999961853027,28657000000,12.85,1.78,1166.56,3320.79,9370.81,1915.0
2020-01-23,2246.1298828125,685.5700073242188,15.300000190734863,-89676000000,12.91,1.77,1165.68,3321.75,9383.77,1930.23
2020-01-28,2176.719970703125,664.7000122070312,18.31999969482422,-412804000000,18.23,1.61,1176.2,3243.63,9139.31,1848.86
2020-01-29,2185.280029296875,670.1799926757812,16.989999771118164,-21444000000,16.28,1.65,1176.23,3276.24,9269.68,1893.27
2020-01-30,2148.0,656.3900146484375,18.3799991607666,-315685000000,16.39,1.6,1176.98,3273.4,9275.16,1858.7
2020-01-31,2119.010009765625,642.47998046875,19.290000915527344,-179352000000,15.49,1.57,1191.94,3283.66,9298.93,1855.8
2020-02-03,2118.8798828125,646.8499755859375,19.31999969482422,-68665000000,18.84,1.51,1191.3,3225.52,9150.94,1789.93
2020-02-04,2157.89990234375,661.239990234375,18.38999938964844,143064000000,17.97,1.54,1194.8,3248.92,9273.4,1812.18
2020-02-05,2165.6298828125,661.3200073242188,18.229999542236328,226401000000,16.05,1.61,1184.51,3297.59,9467.97,1868.65
2020-02-06,2227.93994140625,672.6900024414062,17.809999465942383,300672000000,15.15,1.66,1187.25,3334.69,9508.68,1909.52
2020-02-07,2211.949951171875,672.6300048828125,17.530000686645508,-94058000000,14.96,1.65,1179.64,3345.78,9572.15,1909.64
2020-02-10,2201.070068359375,676.0700073242188,18.21999931335449,-67415000000,15.47,1.59,1186.24,3327.71,9520.51,1864.36
