trade_date,snp500_close,nasdaq_close,phlx_semi_close
2019-12-31,3230.78,8972.6,1849.62
2020-01-02,3257.85,9092.19,1887.91
2020-01-03,3234.85,9020.77,1853.98
2020-01-06,3246.28,9071.47,1834.68
2020-01-07,3237.18,9068.58,1867.28
2020-01-08,3253.05,9129.24,1867.59
2020-01-09,3274.7,9203.43,1878.73
2020-01-10,3265.35,9178.86,1866.35
2020-01-13,3288.13,9273.93,1890.79
2020-01-14,3283.15,9251.33,1894.64
2020-01-15,3289.29,9258.7,1872.16
2020-01-16,3316.81,9357.13,1903.93
2020-01-17,3329.62,9388.94,1916.62
2020-01-21,3320.79,9370.81,1915.0
2020-01-22,3321.75,9383.77,1930.23
2020-01-23,3325.54,9402.48,1945.37
2020-01-24,3295.47,9314.91,1924.03
2020-01-27,3243.63,9139.31,1848.86
2020-01-28,3276.24,9269.68,1893.27
2020-01-29,3273.4,9275.16,1858.7
2020-01-30,3283.66,9298.93,1855.8
2020-01-31,3225.52,9150.94,1789.93
2020-02-03,3248.92,9273.4,1812.18
2020-02-04,3297.59,9467.97,1868.65
2020-02-05,3334.69,9508.68,1909.52
2020-02-06,3345.78,9572.15,1909.64
2020-02-07,3327.71,9520.51,1864.36
2020-02-10,3352.09,9628.39,1892.8
2020-02-11,3357.75,9638.94,1931.08
2020-02-12,3379.45,9725.96,1958.82
2020-02-13,3373.94,9711.97,1960.34
2020-02-14,3380.16,9731.18,1956.56
2020-02-18,3370.29,9732.74,1929.12
2020-02-19,3386.15,9817.18,1979.5
2020-02-20,3373.23,9750.97,1949.25
2020-02-21,3337.75,9576.59,1891.05
2020-02-24,3225.89,9221.28,1801.23
2020-02-25,3128.21,8965.61,1746.11
2020-02-26,3116.39,8980.78,1749.95
2020-02-27,2978.76,8566.48,1668.65
2020-02-28,2954.22,8567.37,1705.54
2020-03-02,3090.23,8952.17,1765.38
2020-03-03,3003.37,8684.09,1705.26
2020-03-04,3130.12,9018.09,1789.57
2020-03-05,3023.94,8738.59,1734.03
2020-03-06,2972.37,8575.62,1699.89
2020-03-09,2746.56,7950.68,1558.16
2020-03-10,2882.23,8344.25,1656.5
2020-03-11,2741.38,7952.05,1562.54
2020-03-12,2480.64,7201.8,1392.11
2020-03-13,2711.02,7874.88,1544.26
2020-03-16,2386.13,6904.59,1298.78
2020-03-17,2529.19,7334.78,1426.52
2020-03-18,2398.1,6989.84,1286.84
2020-03-19,2409.39,7150.58,1341.22
2020-03-20,2304.92,6879.52,1298.54
2020-03-23,2237.4,6860.67,1342.12
2020-03-24,2447.33,7417.86,1491.83
2020-03-25,2475.56,7384.3,1472.57
2020-03-26,2630.07,7797.54,1572.61
2020-03-27,2541.47,7502.38,1488.75
2020-03-30,2626.65,7774.15,1545.31
2020-03-31,2584.59,7700.1,1510.59
2020-04-01,2470.5,7360.58,1427.73
2020-04-02,2526.9,7487.31,1474.61
2020-04-03,2488.65,7373.08,1443.04
2020-04-06,2663.68,7913.24,1592.88
2020-04-07,2659.41,7887.26,1585.38
2020-04-08,2749.98,8090.9,1639.89
2020-04-09,2789.82,8153.58,1601.73
2020-04-13,2761.63,8192.42,1623.68
2020-04-14,2846.06,8515.74,1695.76
2020-04-15,2783.36,8393.18,1647.91
2020-04-16,2799.55,8532.36,1690.87
2020-04-17,2874.56,8650.14,1705.64
2020-04-20,2823.16,8560.73,1667.57
2020-04-21,2736.56,8263.23,1588.7
2020-04-22,2799.31,8495.38,1682.12
2020-04-23,2797.8,8494.75,1664.67
2020-04-24,2836.74,8634.52,1702.56
2020-04-27,2878.48,8730.16,1725.04
2020-04-28,2863.39,8607.73,1713.21
2020-04-29,2939.51,8914.71,1797.76
2020-04-30,2912.43,8889.55,1731.24
2020-05-01,2830.71,8604.95,1644.4
2020-05-04,2842.74,8710.71,1661.3
2020-05-05,2868.44,8809.12,1689.5
2020-05-06,2848.42,8854.39,1707.75
2020-05-07,2881.19,8979.66,1724.93
2020-05-08,2929.8,9121.32,1775.61
2020-05-11,2930.19,9192.34,1774.31
2020-05-12,2870.12,9002.55,1725.24
2020-05-13,2820.0,8863.17,1691.57
2020-05-14,2852.5,8943.72,1739.05
2020-05-15,2863.7,9014.56,1700.89
2020-05-18,2953.91,9234.83,1782.54
2020-05-19,2922.94,9185.1,1775.61
2020-05-20,2971.61,9375.78,1840.79
2020-05-21,2948.51,9284.88,1790.96
2020-05-22,2955.45,9324.59,1802.31
2020-05-26,2991.77,9340.22,1820.51
2020-05-27,3036.13,9412.36,1847.31
2020-05-28,3029.73,9368.99,1804.66
2020-05-29,3044.31,9489.87,1852.49
2020-06-01,3055.73,9552.05,1843.24
2020-06-02,3080.82,9608.38,1883.41
2020-06-03,3122.87,9682.91,1937.47
2020-06-04,3112.35,9615.81,1953.47
2020-06-05,3193.93,9814.08,2003.76
2020-06-08,3232.39,9924.75,1998.62
2020-06-09,3207.18,9953.75,1998.09
2020-06-10,3190.14,10020.35,2004.66
2020-06-11,3002.1,9492.73,1876.66
2020-06-12,3041.31,9588.81,1903.85
2020-06-15,3066.59,9726.02,1931.01
2020-06-16,3124.74,9895.87,1965.69
2020-06-17,3113.49,9910.53,1984.08
2020-06-18,3115.34,9943.05,1980.14
2020-06-19,3097.74,9946.12,1966.79
2020-06-22,3117.86,10056.48,1983.36
2020-06-23,3131.29,10131.37,1987.73
2020-06-24,3050.33,9909.17,1944.3
2020-06-25,3083.76,10017.0,1961.05
2020-06-26,3009.05,9757.22,1921.92
2020-06-29,3053.24,9874.15,1943.9
2020-06-30,3100.29,10058.77,1996.44
2020-07-01,3115.86,10154.63,1966.98
2020-07-02,3130.01,10207.63,1993.61
2020-07-06,3179.72,10433.65,2046.81
2020-07-07,3145.32,10343.89,2019.77
2020-07-08,3169.94,10492.5,2049.76
2020-07-09,3152.05,10547.75,2076.72
2020-07-10,3185.04,10617.44,2069.79
2020-07-13,3155.22,10390.84,2034.14
2020-07-14,3197.52,10488.58,2069.79
2020-07-15,3226.56,10550.49,2064.17
2020-07-16,3215.57,10473.83,2055.92
2020-07-17,3224.73,10503.19,2068.99
2020-07-20,3251.84,10767.09,2110.47
2020-07-21,3257.3,10680.36,2096.59
2020-07-22,3276.02,10706.13,2105.43
2020-07-23,3235.66,10461.42,2070.97
2020-07-24,3215.63,10363.18,2038.71
2020-07-27,3239.41,10536.27,2104.62
2020-07-28,3218.44,10402.09,2060.4
2020-07-29,3258.44,10542.94,2106.3
2020-07-30,3246.22,10587.81,2147.55
2020-07-31,3271.12,10745.27,2136.41
2020-08-03,3294.61,10902.8,2177.27
2020-08-04,3306.51,10941.17,2209.81
2020-08-05,3327.77,10998.4,2207.56
2020-08-06,3349.16,11108.07,2204.94
2020-08-07,3351.28,11010.98,2178.86
2020-08-10,3360.47,10968.36,2179.6
2020-08-11,3333.69,10782.82,2154.79
2020-08-12,3380.35,11012.24,2227.22
2020-08-13,3373.43,11042.5,2202.41
2020-08-14,3372.85,11019.3,2200.81
2020-08-17,3381.99,11129.73,2227.61
2020-08-18,3389.78,11210.84,2214.66
2020-08-19,3374.85,11146.46,2200.77
2020-08-20,3385.51,11264.95,2181.04
2020-08-21,3397.16,11311.8,2198.33
2020-08-24,3431.28,11379.72,2219.37
2020-08-25,3443.62,11466.47,2243.06
2020-08-26,3478.73,11665.06,2250.23
2020-08-27,3484.55,11625.34,2220.15
2020-08-28,3508.01,11695.63,2264.14
2020-08-31,3500.31,11775.46,2260.43
2020-09-01,3526.65,11939.67,2304.68
2020-09-02,3580.84,12056.44,2370.18
2020-09-03,3455.06,11458.1,2234.23
2020-09-04,3426.96,11313.13,2212.73
2020-09-08,3331.84,10847.69,2108.61
2020-09-09,3398.96,11141.56,2169.61
2020-09-10,3339.19,10919.59,2137.78
2020-09-11,3340.97,10853.55,2136.37
2020-09-14,3383.54,11056.65,2181.75
2020-09-15,3401.2,11190.32,2219.19
2020-09-16,3385.49,11050.47,2195.54
2020-09-17,3357.01,10910.28,2194.15
2020-09-18,3319.47,10793.28,2160.97
2020-09-21,3281.06,10778.8,2154.28
2020-09-22,3315.57,10963.64,2180.26
2020-09-23,3236.92,10632.99,2126.69
2020-09-24,3246.59,10672.27,2147.42
2020-09-25,3298.46,10913.56,2177.84
2020-09-28,3351.6,11117.53,2237.64
2020-09-29,3335.47,11085.25,2242.52
2020-09-30,3363.0,11167.51,2244.12
2020-10-01,3380.8,11326.51,2291.77
2020-10-02,3348.42,11075.02,2221.12
2020-10-05,3408.6,11332.49,2295.56
2020-10-06,3360.97,11154.6,2281.09
2020-10-07,3419.44,11364.6,2328.84
2020-10-08,3446.83,11420.98,2356.16
2020-10-09,3477.14,11579.94,2398.04
2020-10-12,3534.22,11876.26,2433.48
2020-10-13,3511.93,11863.9,2430.13
2020-10-14,3488.67,11768.73,2417.2
2020-10-15,3483.34,11713.87,2411.13
2020-10-16,3483.81,11671.56,2399.76
2020-10-19,3426.92,11478.88,2385.85
2020-10-20,3443.12,11516.49,2385.82
2020-10-21,3435.56,11484.69,2367.26
2020-10-22,3453.49,11506.01,2370.45
2020-10-23,3465.39,11548.28,2360.23
2020-10-26,3400.97,11358.94,2308.45
2020-10-27,3390.68,11431.35,2300.91
2020-10-28,3271.03,11004.87,2222.98
2020-10-29,3310.11,11185.59,2283.65
2020-10-30,3269.96,10911.59,2246.15
2020-11-02,3310.24,10957.61,2260.07
2020-11-03,3369.16,11160.57,2302.73
2020-11-04,3443.44,11590.78,2384.22
2020-11-05,3510.45,11890.93,2489.16
2020-11-06,3509.44,11895.23,2529.27
2020-11-09,3550.5,11713.78,2497.59
2020-11-10,3545.53,11553.86,2422.33
2020-11-11,3572.66,11786.43,2511.24
2020-11-12,3537.01,11709.59,2478.43
2020-11-13,3585.15,11829.29,2508.82
2020-11-16,3626.91,11924.13,2570.98
2020-11-17,3609.53,11899.34,2548.96
2020-11-18,3567.79,11801.6,2530.59
2020-11-19,3581.87,11904.71,2570.22
2020-11-20,3557.54,11854.97,2555.5
2020-11-23,3577.59,11880.63,2595.25
2020-11-24,3635.41,12036.79,2609.01
2020-11-25,3629.65,12094.4,2600.24
2020-11-27,3638.35,12205.85,2631.56
2020-11-30,3621.63,12198.74,2663.49
2020-12-01,3662.45,12355.11,2709.73
2020-12-02,3669.01,12349.37,2716.35
2020-12-03,3666.72,12377.18,2716.15
2020-12-04,3699.12,12464.23,2793.03
2020-12-07,3691.96,12519.95,2806.61
2020-12-08,3702.25,12582.77,2816.27
2020-12-09,3672.82,12338.95,2734.77
2020-12-10,3668.1,12405.81,2733.67
2020-12-11,3663.46,12377.87,2704.08
2020-12-14,3647.49,12440.04,2736.25
2020-12-15,3694.62,12595.06,2774.79
2020-12-16,3701.17,12658.19,2773.42
2020-12-17,3722.48,12764.75,2778.14
2020-12-18,3709.41,12755.64,2764.74
2020-12-21,3694.92,12742.52,2747.29
2020-12-22,3687.26,12807.92,2743.97
2020-12-23,3690.01,12771.11,2723.53
2020-12-24,3703.06,12804.73,2750.24
2020-12-28,3735.36,12899.42,2744.3
2020-12-29,3727.04,12850.22,2738.05
2020-12-30,3732.04,12870.0,2783.77
2020-12-31,3756.07,12888.28,2795.5
2021-01-04,3700.65,12698.45,2783.21
2021-01-05,3726.86,12818.96,2837.17
2021-01-06,3748.14,12740.79,2827.96
2021-01-07,3803.79,13067.48,2937.0
2021-01-08,3824.68,13201.98,2936.47
2021-01-11,3799.61,13036.43,2969.92
2021-01-12,3801.19,13072.43,2988.02
2021-01-13,3809.84,13128.95,2991.95
2021-01-14,3795.54,13112.64,3055.64
2021-01-15,3768.25,12998.5,2992.77
2021-01-19,3798.91,13197.18,3093.32
2021-01-20,3851.85,13457.25,3085.04
2021-01-21,3853.07,13530.91,3132.17
2021-01-22,3841.47,13543.06,3074.4
2021-01-25,3855.36,13635.99,3079.21
2021-01-26,3849.62,13626.06,3031.77
2021-01-27,3750.77,13270.6,2875.13
2021-01-28,3787.38,13337.16,2935.12
2021-01-29,3714.24,13070.69,2887.08
2021-02-01,3773.86,13403.39,2999.99
2021-02-02,3826.31,13612.78,3047.33
2021-02-03,3830.17,13610.54,2982.87
2021-02-04,3871.74,13777.74,3008.42
2021-02-05,3886.83,13856.3,2985.01
2021-02-08,3915.59,13987.64,3078.48
2021-02-09,3911.23,14007.7,3064.95
2021-02-10,3909.88,13972.53,3074.86
2021-02-11,3916.38,14025.77,3180.84
2021-02-12,3934.83,14095.47,3219.87
2021-02-16,3932.59,14047.5,3238.92
2021-02-17,3931.33,13965.49,3178.24
2021-02-18,3913.97,13865.36,3146.79
2021-02-19,3906.71,13874.46,3223.46
2021-02-22,3876.5,13533.05,3102.01
2021-02-23,3881.37,13465.2,3083.88
2021-02-24,3925.43,13597.97,3183.74
2021-02-25,3829.34,13119.43,2999.16
2021-02-26,3811.15,13192.35,3067.62
2021-03-01,3901.82,13588.83,3169.11
2021-03-02,3870.29,13358.79,3070.94
2021-03-03,3819.72,12997.75,2975.58
2021-03-04,3768.47,12723.47,2831.63
2021-03-05,3841.94,12920.15,2920.75
2021-03-08,3821.35,12609.16,2762.75
2021-03-09,3875.44,13073.82,2932.21
2021-03-10,3898.81,13068.83,2879.32
2021-03-11,3939.34,13398.67,2997.13
2021-03-12,3943.34,13319.86,2965.09
2021-03-15,3968.94,13459.71,3032.05
2021-03-16,3962.71,13471.57,3070.32
2021-03-17,3974.12,13525.2,3107.92
2021-03-18,3915.46,13116.17,2976.22
2021-03-19,3913.1,13215.24,3011.37
2021-03-22,3940.59,13377.54,3077.55
2021-03-23,3910.52,13227.7,2994.21
2021-03-24,3889.14,12961.89,2953.97
2021-03-25,3909.52,12977.68,2959.88
2021-03-26,3974.54,13138.73,3106.28
2021-03-29,3971.09,13059.65,3054.63
2021-03-30,3958.55,13045.39,3044.55
2021-03-31,3972.89,13246.87,3124.94
2021-04-01,4019.87,13480.11,3240.17
2021-04-05,4077.91,13705.59,3305.43
2021-04-06,4073.94,13698.38,3266.1
2021-04-07,4079.95,13688.84,3266.46
2021-04-08,4097.17,13829.31,3301.26
2021-04-09,4128.8,13900.19,3294.53
2021-04-12,4127.99,13850.0,3258.33
2021-04-13,4141.59,13996.1,3252.7
2021-04-14,4124.66,13857.84,3213.88
2021-04-15,4170.42,14038.76,3271.33
2021-04-16,4185.47,14052.34,3253.08
2021-04-19,4163.26,13914.77,3171.0
2021-04-20,4134.94,13786.27,3121.43
2021-04-21,4173.42,13950.22,3207.25
2021-04-22,4134.98,13818.41,3133.17
2021-04-23,4180.17,14016.81,3196.98
2021-04-26,4187.62,14138.78,3250.26
2021-04-27,4186.72,14090.22,3225.61
2021-04-28,4183.18,14051.03,3178.49
2021-04-29,4211.47,14082.55,3202.5
2021-04-30,4181.17,13962.68,3108.99
2021-05-03,4192.66,13895.12,3073.38
2021-05-04,4164.66,13633.5,3024.31
2021-05-05,4167.59,13582.42,3042.88
2021-05-06,4201.62,13632.84,3066.22
2021-05-07,4232.6,13752.24,3112.03
2021-05-10,4188.43,13401.86,2967.11
2021-05-11,4152.1,13389.43,2976.01
2021-05-12,4063.04,13031.68,2851.15
2021-05-13,4112.5,13124.99,2893.94
2021-05-14,4173.85,13429.98,2981.42
2021-05-17,4163.29,13379.05,2954.63
2021-05-18,4127.83,13303.64,2929.15
2021-05-19,4115.68,13299.74,2987.28
2021-05-20,4159.12,13535.74,3066.11
2021-05-21,4155.86,13470.99,3052.1
2021-05-24,4197.05,13661.17,3122.98
2021-05-25,4188.13,13657.17,3134.67
2021-05-26,4195.99,13738.0,3140.98
2021-05-27,4200.88,13736.28,3159.27
2021-05-28,4204.11,13748.74,3186.56
2021-06-01,4202.04,13736.48,3174.32
2021-06-02,4208.12,13756.33,3196.98
2021-06-03,4192.85,13614.51,3139.19
2021-06-04,4229.89,13814.49,3214.14
2021-06-07,4226.52,13881.72,3191.66
2021-06-08,4227.26,13924.91,3171.22
2021-06-09,4219.55,13911.75,3158.48
2021-06-10,4239.18,14020.33,3196.21
2021-06-11,4247.44,14069.42,3210.06
2021-06-14,4255.15,14174.14,3255.34
2021-06-15,4246.59,14072.86,3225.98
2021-06-16,4223.7,14039.68,3201.01
2021-06-17,4221.86,14161.35,3231.71
2021-06-18,4166.45,14030.38,3152.81
2021-06-21,4224.79,14141.48,3171.99
2021-06-22,4246.44,14253.27,3185.43
2021-06-23,4241.84,14271.73,3197.22
2021-06-24,4266.49,14369.71,3253.8
2021-06-25,4280.7,14360.39,3241.48
2021-06-28,4290.61,14500.51,3323.14
2021-06-29,4291.8,14528.33,3348.87
2021-06-30,4297.5,14503.95,3345.31
2021-07-01,4319.94,14522.38,3295.06
2021-07-02,4352.34,14639.33,3315.83
2021-07-06,4343.54,14663.64,3307.92
2021-07-07,4358.13,14665.06,3261.73
2021-07-08,4320.82,14559.78,3222.81
2021-07-09,4369.55,14701.92,3278.39
2021-07-12,4384.63,14733.24,3319.0
2021-07-13,4369.21,14677.65,3300.81
2021-07-14,4374.3,14644.95,3289.18
2021-07-15,4360.03,14543.13,3217.74
2021-07-16,4327.16,14427.24,3145.45
2021-07-19,4258.49,14274.98,3147.51
2021-07-20,4323.06,14498.88,3190.95
2021-07-21,4358.69,14631.95,3288.75
2021-07-22,4367.48,14684.6,3259.42
2021-07-23,4411.79,14836.99,3280.06
2021-07-26,4422.3,14840.71,3276.92
2021-07-27,4401.46,14660.58,3215.97
2021-07-28,4400.64,14762.58,3272.45
2021-07-29,4419.15,14778.26,3333.24
2021-07-30,4395.26,14672.68,3356.53
2021-08-02,4387.16,14681.07,3377.49
2021-08-03,4423.15,14761.29,3396.66
2021-08-04,4402.66,14780.53,3436.9
2021-08-05,4429.1,14895.12,3424.46
2021-08-06,4436.52,14835.76,3412.05
2021-08-09,4432.35,14860.18,3399.76
2021-08-10,4436.75,14788.09,3358.87
2021-08-11,4442.41,14765.14,3350.93
2021-08-12,4460.83,14816.26,3312.96
2021-08-13,4468.0,14822.9,3335.04
2021-08-16,4479.71,14793.76,3322.64
2021-08-17,4448.08,14656.18,3256.82
2021-08-18,4400.27,14525.91,3208.83
